Time (s),A0C0,A0C1,A0C2,A1C0,A1C1,A1C2,A1C3,A2C0,A2C1,A2C2,A2C3
11.192877,0.387273,0.250909,0.272727,0.409091,0.272727,0.296364,2.250909,0.136364,0.136364,48.386364,0.374545
11.325830,0.796364,1.590909,0.296364,0.409091,1.045455,2.978182,9.023637,0.136364,4.466363,52.875454,0.148182
11.442417,1.205455,2.840000,0.272727,0.477273,2.272727,4.818182,9.409091,0.148182,5.954545,61.898182,0.159091
11.443030,1.160000,2.772727,0.272727,0.409091,2.590909,9.363636,6.045455,0.363636,5.704545,67.602730,0.193636
11.550666,0.454545,0.272727,0.272727,0.444545,1.978182,11.841819,1.363636,1.022727,1.557273,69.943634,0.159091
11.609702,0.296364,0.250909,0.272727,0.444545,1.000000,11.978182,0.681818,1.204545,1.022727,68.136360,0.170909
11.659640,0.296364,0.250909,0.272727,0.444545,0.749091,8.841818,0.569091,0.136364,0.522727,65.057274,0.227273
11.717241,1.000000,0.272727,0.250909,0.444545,1.114545,7.681818,1.205455,0.136364,0.648182,58.681820,0.193636
11.775622,1.363636,2.136364,0.272727,0.444545,2.045455,9.090909,4.478182,0.931818,4.409091,65.398186,0.148182
11.860257,2.318182,4.841818,0.296364,0.444545,3.978182,12.023636,9.160000,12.249999,7.522727,64.454544,0.545455
11.909968,5.523636,19.114546,0.341818,0.444545,17.045456,11.841819,40.727276,60.943638,39.409088,69.557274,11.011818
11.943574,5.909091,23.681820,0.296364,0.444545,14.454545,6.409091,60.841820,60.034546,57.670910,67.784546,16.966364
12.076833,4.932728,26.887274,0.272727,0.409091,9.818183,3.160000,65.000000,0.148182,54.170910,56.830002,11.011818
12.110174,4.090909,22.250912,0.296364,0.444545,5.409091,2.636364,51.569096,0.148182,8.080001,53.886368,3.557273
12.193421,3.114546,12.954545,0.296364,0.444545,5.954545,3.727273,29.727274,0.136364,5.625454,46.284546,0.159091
12.276362,3.614546,12.545455,0.272727,0.444545,7.636364,4.160000,24.387272,0.136364,1.204545,41.613636,0.159091
12.277998,2.296364,8.272727,0.296364,0.409091,2.932727,2.545455,16.978182,0.136364,2.250000,23.648180,0.159091
12.401621,1.545455,2.114545,0.272727,6.954545,0.841818,0.478182,6.160000,0.148182,0.352727,12.545455,0.148182
12.460535,0.296364,0.250909,0.272727,2.659091,0.250909,0.296364,1.409091,0.136364,0.148182,4.636364,0.148182
12.461401,0.296364,0.250909,0.272727,1.467273,0.272727,0.296364,0.272727,0.136364,0.148182,1.966364,0.148182
12.626900,0.296364,0.227273,0.272727,1.022727,0.272727,0.296364,0.272727,0.136364,0.136364,1.284546,0.159091
12.710061,0.296364,0.250909,0.272727,1.022727,0.272727,0.296364,0.272727,0.136364,0.148182,1.522727,0.159091
12.810165,0.318182,0.250909,0.296364,1.058182,0.272727,0.272727,0.272727,0.136364,0.136364,1.534545,0.148182
12.834485,0.272727,0.250909,0.272727,1.090909,0.272727,0.272727,0.296364,0.136364,0.136364,1.352727,0.159091
12.944487,0.296364,0.250909,0.272727,1.058182,0.250909,0.272727,0.318182,0.136364,0.148182,0.898182,0.148182
12.976916,0.296364,0.250909,0.272727,1.022727,0.250909,0.296364,0.272727,0.136364,0.136364,1.307273,0.159091
13.127637,0.318182,0.227273,0.272727,1.022727,0.250909,0.272727,0.272727,0.148182,0.136364,1.454546,0.159091
13.160861,0.296364,0.250909,0.296364,1.022727,0.272727,0.296364,0.296364,0.136364,0.136364,1.466364,0.159091
13.244040,0.296364,0.250909,0.272727,1.535455,0.250909,0.318182,0.296364,0.136364,0.148182,3.500000,0.148182
13.294764,0.296364,0.250909,0.272727,0.444545,0.272727,0.296364,0.318182,0.125455,0.148182,12.318182,0.227273
13.355249,0.296364,0.250909,0.272727,0.444545,0.272727,0.296364,0.296364,0.136364,0.136364,73.375450,13.227274
13.411661,0.272727,0.205455,0.272727,0.409091,0.272727,0.272727,0.296364,0.136364,0.136364,118.272728,50.522728
13.570346,0.318182,0.250909,0.296364,1.090909,0.250909,0.296364,0.272727,0.136364,15.420910,126.943634,38.409096
13.669312,0.296364,0.227273,0.250909,3.613636,0.296364,3.181818,2.954545,0.454545,38.466366,98.443642,22.443636
13.778311,0.932727,4.181818,0.296364,0.409091,6.114545,14.363637,11.000000,19.159090,13.318183,58.045452,0.170909
13.812137,2.478182,9.181818,0.272727,0.409091,15.114546,27.136364,12.160000,8.875455,1.295455,22.181820,0.159091
13.894369,2.909091,11.409090,0.296364,26.522728,21.432728,30.614548,14.432728,6.840909,0.136364,13.386363,0.159091
13.945470,5.160000,14.203637,0.318182,33.954544,30.454548,32.454544,14.363637,4.625454,0.148182,6.568182,0.148182
13.978788,8.818182,16.727274,1.750909,37.737278,34.363636,34.136364,14.160001,1.239091,0.125455,2.261818,0.159091
14.078174,13.023637,22.272728,3.045455,43.262726,42.069088,31.409090,14.387273,0.148182,0.148182,2.954545,0.159091
14.128590,18.523636,29.181820,3.978182,46.330910,46.523636,35.478184,9.954545,0.148182,0.136364,1.409091,0.148182
14.187413,22.296364,32.569092,6.318182,53.080906,54.772728,40.090912,0.749091,0.148182,0.136364,2.057273,0.148182
14.245259,25.841818,22.341818,6.363636,48.853634,60.772728,34.136364,1.205455,0.136364,0.136364,1.568182,0.159091
14.328603,26.318182,1.750909,6.545455,0.444545,39.205456,12.569092,2.569091,0.148182,0.148182,0.886364,0.159091
14.378705,2.887273,1.160000,0.454545,0.444545,3.160000,0.296364,2.818182,0.148182,0.136364,0.500000,0.148182
14.411637,0.590909,0.272727,0.272727,2.454545,0.272727,0.272727,0.296364,0.136364,0.148182,1.943636,0.148182
14.413954,0.296364,0.250909,0.272727,1.227273,0.272727,0.272727,0.250909,0.148182,0.136364,2.795455,0.148182
14.562365,0.296364,0.250909,0.296364,0.954545,0.272727,0.272727,0.250909,0.136364,0.136364,2.852727,0.148182
14.595379,0.296364,0.227273,0.250909,0.580909,0.250909,0.272727,0.272727,0.136364,0.125455,2.807273,0.159091
14.678648,0.296364,0.272727,0.272727,1.022727,0.272727,0.272727,0.272727,0.148182,0.148182,3.090909,0.159091
14.729092,0.296364,0.272727,0.272727,0.681818,0.272727,0.296364,0.272727,0.148182,0.136364,2.216364,0.148182
14.845957,0.296364,0.250909,0.272727,0.681818,0.250909,0.272727,0.272727,0.159091,0.136364,2.409091,0.159091
14.929020,0.296364,0.250909,0.272727,0.717273,0.250909,0.272727,0.272727,0.193636,0.136364,1.375455,0.159091
14.979492,0.296364,0.250909,0.272727,0.921818,0.272727,0.296364,0.272727,0.148182,0.136364,2.136364,0.159091
15.012606,0.387273,0.250909,0.272727,1.603637,0.272727,0.296364,0.272727,0.148182,0.136364,1.330000,0.148182
15.146681,0.387273,0.272727,0.296364,0.818182,0.272727,0.296364,0.272727,0.136364,0.136364,2.500000,0.148182
15.179360,0.387273,0.227273,0.272727,1.022727,0.272727,0.272727,0.296364,0.148182,0.148182,5.590909,0.159091
15.262859,0.318182,0.250909,0.272727,0.750000,0.272727,0.272727,0.296364,0.148182,0.148182,43.522724,2.431818
15.346057,0.500000,0.636364,0.250909,0.409091,2.318182,1.069091,2.705455,0.716364,0.136364,35.909092,3.352727
15.430023,1.114545,4.978182,0.272727,0.444545,11.705454,2.750909,6.432727,1.931818,0.136364,29.443636,0.750000
15.455930,1.841818,7.660000,0.705455,0.409091,22.387274,8.454546,6.387273,0.807273,0.148182,18.648182,0.204545
15.513833,4.887273,10.500000,5.114546,0.444545,37.932724,14.363637,3.954545,0.761818,0.148182,6.148182,0.148182
15.637801,5.181818,9.590909,5.000000,0.444545,43.296364,16.205454,2.454546,0.284545,0.136364,3.522727,0.136364
15.696894,4.727273,8.978182,5.840000,17.694546,45.569092,16.478182,1.454546,0.148182,0.136364,3.000000,0.148182
15.747306,4.387273,8.841818,6.681818,24.409092,50.818184,19.863638,0.909091,0.136364,0.136364,3.057273,0.148182
15.830391,5.363636,11.590909,8.432727,27.717274,53.432724,22.954546,0.636364,0.148182,0.148182,2.943636,0.159091
15.863753,7.045455,9.160000,12.887274,32.217274,64.478180,28.818184,1.114545,0.136364,0.136364,2.545455,0.159091
15.946637,9.090909,6.636364,17.205456,35.727276,66.136368,30.090910,0.749091,0.125455,0.136364,2.330000,0.148182
15.997176,8.181819,2.181818,19.318184,0.444545,48.887272,23.296364,1.478182,0.148182,0.136364,0.863636,0.159091
16.056021,3.660000,1.387273,9.069091,0.444545,9.090909,1.590909,3.318182,0.136364,0.148182,0.409091,0.159091
16.113278,2.296364,0.250909,0.545455,6.308182,3.454545,0.296364,0.705455,0.148182,0.148182,0.613636,0.148182
16.164002,0.272727,0.227273,0.296364,1.363636,0.272727,0.272727,0.272727,0.136364,0.148182,2.136364,0.159091
16.247547,0.296364,0.250909,0.250909,2.285455,0.250909,0.296364,0.296364,0.148182,0.136364,2.716364,0.148182
16.280639,0.296364,0.227273,0.272727,1.194545,0.272727,0.272727,0.272727,0.148182,0.125455,3.409091,0.159091
16.364011,0.296364,0.250909,0.296364,1.295454,0.272727,0.296364,0.250909,0.148182,0.136364,1.863636,0.148182
16.414478,0.296364,0.250909,0.272727,1.636364,0.250909,0.296364,0.272727,0.148182,0.136364,3.590909,0.159091
16.473137,0.272727,0.227273,0.272727,0.990000,0.272727,0.296364,0.272727,0.136364,0.148182,1.852727,0.148182
16.530477,0.296364,0.250909,0.272727,2.626364,0.272727,0.272727,0.250909,0.136364,0.148182,1.818182,0.148182
16.581077,0.296364,0.250909,0.272727,2.626364,0.250909,0.272727,0.272727,0.136364,0.136364,1.977273,0.159091
16.665104,0.296364,0.250909,0.296364,1.977273,0.250909,0.296364,0.296364,0.136364,0.136364,2.648182,0.148182
16.698085,0.296364,0.250909,0.272727,1.262727,0.272727,0.272727,0.296364,0.148182,0.136364,3.022727,0.159091
16.780988,0.296364,0.227273,0.250909,1.123636,0.272727,0.272727,0.272727,0.148182,0.148182,1.068182,0.148182
16.805550,0.454545,0.250909,0.272727,2.181818,0.250909,0.250909,0.272727,0.136364,0.136364,5.477273,0.148182
16.889902,0.296364,0.272727,0.272727,0.444545,0.272727,0.296364,0.272727,0.136364,0.148182,47.057270,0.750000
16.948419,0.272727,0.250909,0.250909,0.409091,0.250909,0.272727,0.272727,0.148182,0.148182,79.227280,9.000000
17.031260,0.272727,0.272727,0.250909,0.444545,0.523636,0.523636,0.409091,1.648182,0.818182,77.989090,21.181818
17.114560,0.296364,0.250909,0.250909,0.409091,2.160000,2.114545,2.750909,3.113636,0.977273,72.522728,25.522728
17.198508,2.045455,6.227273,0.727273,0.409091,20.796364,8.432727,14.614546,10.193637,1.284546,24.693636,0.454545
17.465137,2.432727,7.069091,0.500000,0.444545,32.523636,10.590909,13.296363,1.920909,0.716364,11.511818,0.250000
17.465521,4.863636,18.590910,4.045455,11.454546,51.045456,12.500000,12.296364,0.340909,0.136364,4.136364,0.159091
17.615497,6.114545,25.590912,4.932728,13.636364,64.272728,13.136365,11.114546,0.409091,0.136364,3.772727,0.148182
17.675289,9.363636,33.114544,9.136364,17.421818,75.090912,15.614545,4.863636,0.148182,0.136364,4.125454,0.159091
17.731904,12.478183,36.341820,10.887273,15.308183,75.636360,12.840000,2.160000,0.136364,0.136364,2.840909,0.148182
17.782294,11.318182,25.454546,10.590909,15.240000,63.796364,6.023637,4.000000,0.136364,0.136364,2.761818,0.159091
17.865667,6.160000,1.114545,7.796363,9.649091,3.614546,0.272727,4.796364,0.136364,0.136364,1.170909,0.159091
17.898867,1.272727,0.250909,0.272727,2.795455,0.318182,0.296364,1.114545,0.136364,0.148182,2.659091,0.148182
17.982207,0.296364,0.250909,0.250909,0.444545,0.272727,0.296364,0.341818,0.136364,0.148182,2.545455,0.148182
18.090239,0.296364,0.250909,0.272727,0.444545,0.272727,0.296364,0.272727,0.136364,0.148182,2.386364,0.148182
18.149011,0.296364,0.227273,0.272727,0.444545,0.272727,0.272727,0.272727,0.136364,0.136364,2.693636,0.148182
18.216156,0.296364,0.250909,0.272727,0.853636,0.272727,0.296364,0.272727,0.148182,0.136364,2.807273,0.136364
18.300020,0.272727,0.250909,0.272727,1.295454,0.272727,0.296364,0.296364,0.136364,0.136364,2.795455,0.159091
18.332517,0.296364,0.250909,0.272727,1.808182,0.272727,0.272727,0.272727,0.148182,0.136364,2.590909,0.148182
18.333497,0.318182,0.250909,0.272727,1.977273,0.250909,0.272727,0.272727,0.136364,0.125455,2.489091,0.148182
18.532883,0.318182,0.250909,0.250909,1.227273,0.250909,0.296364,0.272727,0.136364,0.148182,1.795455,0.136364
18.599430,0.296364,0.227273,0.250909,1.944545,0.250909,0.296364,0.250909,0.148182,0.136364,1.931818,0.148182
18.632761,0.318182,0.250909,0.272727,2.012727,0.250909,0.296364,0.296364,0.136364,0.136364,2.534546,0.159091
18.767435,0.318182,0.250909,0.272727,1.330909,0.272727,0.296364,0.272727,0.136364,0.148182,3.261818,0.159091
18.800092,0.296364,0.250909,0.272727,0.444545,0.250909,0.296364,0.296364,0.136364,0.148182,71.068184,0.159091
18.883491,0.478182,0.250909,0.250909,0.444545,0.296364,3.387273,3.136364,0.148182,0.136364,64.613640,0.193636
18.933991,1.181818,1.818182,0.318182,0.409091,3.250909,15.636364,7.363636,0.136364,0.136364,35.830002,0.148182
18.991470,2.227273,4.363636,0.636364,0.409091,10.227273,21.205456,13.954547,0.136364,0.136364,18.590910,0.159091
19.049702,4.432727,9.590909,1.409091,0.444545,18.796364,26.614548,17.841818,0.136364,0.148182,8.170909,0.148182
19.100268,6.727273,11.023637,1.478182,0.409091,21.727272,32.023636,20.160002,0.148182,0.148182,14.080000,0.148182
19.183964,6.272727,10.454546,1.363636,0.444545,18.750910,32.069092,23.363636,0.136364,0.136364,13.489091,0.148182
19.216442,5.887273,9.818183,1.000000,0.409091,17.932728,30.523638,22.160002,0.136364,0.148182,4.807273,0.159091
19.300075,4.681818,8.887273,0.978182,0.444545,16.181818,27.478184,21.750910,0.136364,0.148182,30.636366,0.148182
19.350480,4.590909,9.569092,1.000000,0.444545,17.296364,27.932728,20.590910,0.136364,0.136364,22.431820,0.148182
19.408220,4.432727,9.500000,0.841818,0.409091,16.863636,28.887272,21.318182,0.568182,0.148182,28.500000,0.148182
19.466786,4.432727,10.069091,1.114545,0.444545,20.160002,31.523638,20.727274,0.136364,0.148182,26.340910,0.159091
19.550605,4.569091,10.545455,1.272727,0.409091,21.545454,32.818180,20.863636,0.136364,0.136364,27.545456,0.159091
19.633999,4.523636,10.181819,1.227273,0.444545,22.569092,33.636364,19.296364,0.136364,0.284545,24.170908,0.148182
19.634537,4.296364,10.045455,1.227273,0.477273,22.181820,33.818184,18.954546,0.136364,0.193636,21.681818,0.148182
19.784249,4.978182,9.432727,1.409091,0.409091,18.841818,29.500000,18.614546,0.136364,0.216364,26.216364,0.148182
19.817096,4.296364,4.341818,0.818182,25.363640,6.250909,14.341818,12.636364,0.136364,0.568182,20.170910,0.148182
19.900410,2.978182,2.160000,0.387273,17.762730,2.978182,7.818182,3.978182,0.136364,0.136364,9.261818,0.148182
19.951224,1.409091,0.250909,0.296364,4.704545,0.250909,0.318182,0.296364,0.125455,0.136364,3.477273,0.170909
20.067308,0.296364,0.227273,0.296364,2.113636,0.250909,0.272727,0.272727,0.136364,0.136364,1.511818,0.159091
20.151250,0.296364,0.250909,0.296364,2.626364,0.272727,0.272727,0.272727,0.136364,0.136364,2.159091,0.159091
20.201403,0.318182,0.250909,0.272727,2.217273,0.250909,0.296364,0.272727,0.136364,0.136364,2.818182,0.148182
20.234937,0.341818,0.272727,0.272727,2.113636,0.272727,0.272727,0.272727,0.125455,0.136364,2.580000,0.148182
20.317671,0.318182,0.250909,0.272727,2.045455,0.296364,0.296364,0.250909,0.136364,0.148182,2.295455,0.148182
20.318499,0.318182,0.250909,0.272727,2.149091,0.272727,0.272727,0.296364,0.148182,0.136364,2.420909,0.148182
20.369166,0.272727,0.250909,0.272727,2.149091,0.250909,0.296364,0.296364,0.136364,0.136364,2.466364,0.159091
20.427053,0.272727,0.250909,0.272727,2.149091,0.272727,0.272727,0.272727,0.125455,0.148182,2.545455,0.148182
20.485080,0.296364,0.250909,0.250909,1.909091,0.227273,0.296364,0.272727,0.148182,0.136364,2.659091,0.148182
20.535104,0.318182,0.227273,0.272727,2.045455,0.272727,0.296364,0.272727,0.148182,0.136364,3.022727,0.159091
20.676251,0.318182,0.250909,0.272727,1.876364,0.227273,0.296364,0.250909,0.136364,0.148182,3.022727,0.148182
20.734952,0.296364,0.250909,0.272727,2.285455,0.272727,0.272727,0.272727,0.136364,0.136364,3.125455,0.148182
20.785194,0.296364,0.272727,0.272727,2.421818,0.272727,0.272727,0.272727,0.148182,0.136364,3.090909,0.148182
20.869247,0.318182,0.250909,0.272727,2.080909,0.250909,0.272727,0.296364,0.136364,0.136364,2.159091,0.148182
20.985235,0.318182,0.250909,0.272727,2.080909,0.250909,0.272727,0.250909,0.148182,0.136364,2.909091,0.159091
20.985744,0.341818,0.227273,0.272727,2.080909,0.250909,0.296364,0.296364,0.136364,0.136364,2.636364,0.159091
21.092206,0.341818,0.250909,0.296364,1.772727,0.272727,0.272727,0.296364,0.136364,0.148182,2.693636,0.159091
21.202773,0.387273,0.250909,0.272727,1.568182,0.272727,0.272727,0.296364,0.136364,0.136364,2.772727,0.148182
21.318548,0.432727,0.250909,0.296364,1.977273,0.272727,0.296364,0.296364,0.136364,0.148182,2.795455,0.148182
21.453060,0.432727,0.250909,0.272727,2.285455,0.272727,0.272727,0.272727,0.148182,0.136364,2.489091,0.148182
21.510212,0.341818,0.250909,0.272727,2.149091,0.272727,0.272727,0.296364,0.136364,0.136364,2.489091,0.159091
21.569669,0.387273,0.250909,0.272727,2.181818,0.272727,0.272727,0.296364,0.148182,0.148182,2.511818,0.159091
21.619817,0.341818,0.227273,0.272727,2.318182,0.272727,0.272727,0.296364,0.148182,0.136364,2.466364,0.148182
21.703553,0.318182,0.250909,0.272727,2.522727,0.296364,0.272727,0.272727,0.136364,0.136364,2.500000,0.148182
21.736554,0.318182,0.227273,0.272727,2.454545,0.272727,0.272727,0.272727,0.148182,0.136364,2.511818,0.148182
21.819430,0.318182,0.250909,0.272727,2.353637,0.250909,0.296364,0.272727,0.136364,0.136364,2.272727,0.148182
21.886727,0.296364,0.227273,0.272727,1.772727,0.272727,0.296364,0.272727,0.136364,0.125455,2.330000,0.148182
21.943617,0.296364,0.250909,0.272727,2.012727,0.272727,0.296364,0.272727,0.148182,0.136364,2.352727,0.159091
22.019386,0.318182,0.227273,0.250909,2.217273,0.272727,0.296364,0.272727,0.148182,0.136364,2.693636,0.148182
