Master Time (s),gravity_x,gravity_y,gravity_z,lin_accel_x,lin_accel_y,lin_accel_z
11.193103,,,,0.110000,0.410000,-0.540000
11.193251,8.050000,5.050000,2.390000,,,
11.326148,8.020000,5.130000,2.310000,,,
11.326233,,,,0.360000,-0.240000,-1.150000
11.442762,,,,0.260000,-0.430000,-0.840000
11.442889,7.990000,5.220000,2.220000,,,
11.492825,,,,0.200000,-0.730000,-0.910000
11.492954,7.810000,5.480000,2.240000,,,
11.550973,,,,0.200000,0.140000,-0.200000
11.551017,7.730000,5.570000,2.280000,,,
11.609557,,,,0.100000,0.410000,-0.190000
11.609789,7.690000,5.630000,2.260000,,,
11.692553,,,,-0.170000,-0.880000,-0.460000
11.692816,7.660000,5.720000,2.170000,,,
11.717509,,,,0.190000,-0.970000,0.270000
11.717628,7.500000,6.010000,1.940000,,,
11.859788,,,,1.740000,1.960000,0.710000
11.860020,7.260000,6.360000,1.730000,,,
11.909687,6.990000,6.710000,1.500000,,,
11.909822,,,,0.450000,0.840000,0.110000
11.943343,6.960000,6.790000,1.190000,,,
11.943386,,,,-0.020000,1.120000,-0.050000
12.109904,7.190000,6.600000,0.870000,,,
12.110072,,,,0.750000,0.050000,-1.340000
12.160436,,,,0.530000,-0.850000,-1.030000
12.160609,7.710000,5.990000,0.890000,,,
12.218795,,,,-0.030000,-0.440000,-0.910000
12.218944,7.970000,5.620000,1.010000,,,
12.276814,,,,0.010000,-0.170000,-0.240000
12.277032,8.010000,5.540000,1.070000,,,
12.278247,,,,0.210000,-1.060000,-0.970000
12.278368,7.950000,5.610000,1.120000,,,
12.401887,,,,0.310000,2.960000,0.260000
12.401925,7.760000,5.880000,1.110000,,,
12.460956,,,,-0.090000,-0.690000,-0.330000
12.461185,7.820000,5.800000,1.100000,,,
12.567933,7.580000,6.100000,1.200000,,,
12.568093,,,,6.430000,3.160000,1.520000
12.627161,,,,0.810000,-2.820000,2.250000
12.627250,7.680000,5.870000,1.620000,,,
12.710644,,,,0.270000,-1.430000,0.140000
12.710730,7.790000,5.640000,1.900000,,,
12.810687,,,,0.390000,-0.910000,-0.430000
12.810849,8.020000,5.140000,2.290000,,,
12.860761,,,,-0.120000,-0.710000,-1.240000
12.860887,8.440000,4.140000,2.760000,,,
12.944748,,,,0.500000,-0.930000,-0.940000
12.944874,8.740000,3.360000,2.890000,,,
12.977441,,,,-1.110000,-0.640000,-1.580000
13.077258,8.930000,2.790000,2.930000,,,
13.127908,,,,-0.390000,0.270000,-1.200000
13.128038,9.150000,2.050000,2.840000,,,
13.160752,,,,-0.920000,5.590000,-2.780000
13.161047,9.190000,1.650000,2.970000,,,
13.244465,,,,2.770000,-2.870000,-1.470000
13.294519,9.080000,1.860000,3.170000,,,
13.294901,,,,-2.510000,4.290000,-4.770000
13.295022,8.960000,2.130000,3.360000,,,
13.411390,,,,-0.250000,2.690000,-1.180000
13.411708,8.780000,2.910000,3.220000,,,
13.511087,,,,-0.130000,-0.510000,-0.660000
13.511216,8.630000,3.520000,3.010000,,,
13.570789,,,,-0.220000,-0.380000,0.220000
13.571031,8.480000,4.050000,2.770000,,,
13.669559,,,,-0.050000,1.440000,-1.250000
13.669687,8.200000,4.840000,2.320000,,,
13.778573,,,,0.120000,0.600000,-0.360000
13.778700,7.960000,5.420000,1.800000,,,
13.838644,,,,0.120000,-0.060000,-0.760000
13.838775,7.880000,5.680000,1.290000,,,
13.894864,,,,0.250000,-0.200000,-0.750000
13.894994,7.820000,5.820000,1.040000,,,
13.945727,,,,0.140000,-0.020000,-0.450000
13.945855,7.750000,5.940000,0.830000,,,
13.978930,,,,0.190000,-0.190000,-0.230000
13.979129,7.630000,6.130000,0.530000,,,
14.078476,,,,-0.060000,-0.140000,-0.790000
14.078857,7.480000,6.320000,0.370000,,,
14.128832,,,,2.200000,1.210000,-0.690000
14.128961,7.300000,6.530000,0.280000,,,
14.187662,,,,1.150000,-0.340000,-0.420000
14.212313,7.180000,6.670000,0.220000,,,
14.244678,,,,2.500000,-0.580000,-0.460000
14.245549,6.890000,6.970000,0.200000,,,
14.329013,,,,7.070000,0.050000,-0.210000
14.329133,6.320000,7.490000,0.130000,,,
14.378972,,,,3.630000,2.310000,1.810000
14.379101,5.330000,8.220000,-0.170000,,,
14.412129,,,,3.420000,-3.930000,1.270000
14.412988,4.090000,8.900000,-0.290000,,,
14.511902,,,,0.450000,-1.540000,-4.100000
14.512300,3.220000,9.260000,-0.080000,,,
14.562608,,,,0.930000,-6.830000,0.840000
14.562731,3.340000,9.170000,0.830000,,,
14.596058,,,,1.680000,-2.650000,-0.790000
14.596384,4.090000,8.830000,1.150000,,,
14.679188,,,,1.580000,-1.220000,-1.300000
14.679352,4.980000,8.320000,1.420000,,,
14.729368,,,,1.480000,-1.820000,-1.300000
14.729498,6.450000,7.170000,1.760000,,,
14.845527,,,,1.840000,1.640000,-2.420000
14.846056,7.490000,6.100000,1.660000,,,
14.929447,,,,4.480000,5.180000,0.110000
14.929628,9.310000,2.640000,1.530000,,,
14.979749,,,,-2.590000,4.050000,1.040000
14.979891,9.640000,1.180000,1.300000,,,
15.036708,,,,-0.260000,5.150000,1.290000
15.036930,9.710000,0.620000,1.190000,,,
15.146930,,,,-2.610000,8.080000,-1.770000
15.147064,9.640000,0.920000,1.500000,,,
15.205088,,,,-0.020000,1.580000,-0.910000
15.229858,9.270000,2.520000,1.960000,,,
15.262970,,,,1.370000,-1.360000,0.370000
15.263116,8.900000,3.610000,1.960000,,,
15.346625,,,,0.020000,1.360000,-0.820000
15.346758,8.600000,4.390000,1.650000,,,
15.455637,,,,0.130000,-0.070000,-1.780000
15.455773,8.370000,4.910000,1.380000,,,
15.513046,,,,0.140000,0.410000,-0.800000
15.513239,7.940000,5.650000,1.030000,,,
15.514057,,,,0.080000,0.820000,-0.770000
15.514250,7.820000,5.850000,0.820000,,,
15.696363,,,,0.000000,0.070000,-0.960000
15.696705,7.790000,5.900000,0.680000,,,
15.747028,,,,0.250000,-0.080000,-0.850000
15.747166,7.710000,6.030000,0.510000,,,
15.805447,,,,0.230000,0.170000,-0.420000
15.805487,7.640000,6.110000,0.480000,,,
15.863241,7.540000,6.250000,0.460000,,,
15.863554,,,,1.610000,-0.780000,-0.890000
15.947040,,,,2.910000,-0.630000,-1.450000
15.947160,7.090000,6.750000,0.480000,,,
15.997450,,,,4.050000,0.000000,-0.450000
15.997533,6.620000,7.200000,0.580000,,,
16.056298,,,,5.930000,-0.570000,-0.650000
16.056428,6.190000,7.570000,0.570000,,,
16.113865,5.060000,8.380000,0.540000,,,
16.113987,,,,6.070000,-0.880000,-0.120000
16.164260,,,,4.150000,-4.260000,1.930000
16.196717,3.830000,8.980000,0.840000,,,
16.247682,,,,3.200000,-10.490000,-0.900000
16.247903,3.610000,9.030000,1.250000,,,
16.280793,,,,0.940000,-3.050000,-0.900000
16.280915,3.910000,8.900000,1.230000,,,
16.364502,,,,0.920000,-5.460000,1.290000
16.364626,4.990000,8.340000,1.280000,,,
16.414662,,,,0.500000,0.650000,-0.310000
16.414877,6.140000,7.540000,1.230000,,,
16.473319,,,,2.420000,0.170000,2.040000
16.473404,7.810000,5.750000,1.380000,,,
16.531235,,,,3.060000,5.200000,-0.030000
16.531274,8.800000,4.110000,1.310000,,,
16.614390,,,,1.280000,4.360000,1.410000
16.614478,9.380000,2.490000,1.330000,,,
16.664998,,,,-3.200000,5.990000,-0.210000
16.697893,9.600000,1.430000,1.390000,,,
16.698391,,,,-2.770000,7.330000,-1.850000
16.698553,9.650000,0.840000,1.510000,,,
16.781324,,,,0.320000,7.290000,-0.610000
16.781486,9.560000,1.090000,1.870000,,,
16.805817,,,,1.490000,-4.020000,-3.020000
16.805941,9.460000,1.360000,2.190000,,,
16.890161,,,,-2.300000,1.420000,-0.400000
16.890241,9.380000,1.640000,2.300000,,,
16.947940,,,,-0.390000,1.580000,0.500000
16.948321,9.120000,2.770000,2.280000,,,
17.031394,,,,-0.430000,0.550000,-0.710000
17.081657,8.870000,3.620000,2.050000,,,
17.198104,,,,-0.150000,1.810000,-0.280000
17.198275,8.600000,4.340000,1.780000,,,
17.248503,,,,0.180000,0.820000,-0.920000
17.305601,8.250000,5.230000,0.810000,,,
17.465008,,,,0.030000,0.420000,-0.020000
17.465299,8.180000,5.370000,0.500000,,,
17.565097,,,,-0.070000,0.180000,-0.610000
17.565188,7.940000,5.740000,-0.310000,,,
17.615689,7.610000,6.150000,-0.540000,,,
17.615780,,,,0.080000,-0.680000,-0.570000
17.675558,,,,-0.110000,1.500000,-1.450000
17.675719,7.170000,6.650000,-0.630000,,,
17.732193,6.960000,6.860000,-0.690000,,,
17.732280,,,,1.230000,-0.690000,-0.700000
17.782546,,,,6.670000,-0.160000,-0.470000
17.815119,6.600000,7.210000,-0.720000,,,
17.865844,,,,3.810000,0.200000,1.950000
17.866056,6.160000,7.570000,-0.850000,,,
17.899160,,,,2.280000,-2.670000,1.360000
17.899284,5.100000,8.290000,-1.170000,,,
17.982539,,,,0.730000,2.820000,-2.510000
17.982662,3.950000,8.880000,-1.240000,,,
18.090294,,,,2.630000,-7.730000,0.390000
18.090387,3.660000,9.070000,-0.690000,,,
18.149301,4.880000,8.470000,0.630000,,,
18.149604,,,,-1.400000,-2.420000,1.170000
18.249408,6.060000,7.590000,1.280000,,,
18.249628,,,,0.840000,0.690000,-1.690000
18.300251,,,,0.390000,0.960000,-1.200000
18.300293,7.180000,6.420000,1.810000,,,
18.333230,,,,0.640000,5.050000,-2.970000
18.333363,8.130000,5.120000,1.940000,,,
18.333698,,,,-0.610000,5.150000,-3.150000
18.333816,8.520000,4.380000,2.040000,,,
18.533129,8.790000,3.810000,2.060000,,,
18.533250,,,,-1.410000,4.350000,-2.800000
18.599702,,,,-1.890000,3.330000,-1.510000
18.599827,8.950000,3.450000,2.020000,,,
18.633183,,,,-1.470000,2.110000,3.390000
18.633312,8.950000,3.400000,2.100000,,,
18.799460,8.870000,3.510000,2.230000,,,
18.799898,,,,-0.430000,0.890000,-2.880000
18.882941,,,,-0.180000,1.600000,0.800000
18.883302,8.590000,4.160000,2.220000,,,
18.933708,,,,-0.250000,1.030000,1.350000
18.933803,8.390000,4.610000,2.100000,,,
18.991614,8.300000,4.950000,1.650000,,,
18.991819,,,,-0.130000,0.950000,-1.040000
19.050357,8.320000,4.980000,1.380000,,,
19.050397,,,,-0.100000,0.660000,-0.610000
19.133424,,,,-0.090000,0.300000,-0.340000
19.133493,8.330000,5.020000,1.200000,,,
19.184166,,,,-0.040000,0.410000,-0.540000
19.184292,8.360000,5.000000,1.110000,,,
19.217044,,,,-0.110000,0.650000,-0.100000
19.217175,8.380000,4.970000,1.010000,,,
19.300625,,,,0.000000,-0.280000,-0.490000
19.300747,8.480000,4.810000,0.970000,,,
19.350681,,,,0.000000,-0.070000,-0.740000
19.350810,8.510000,4.770000,0.940000,,,
19.408372,,,,0.030000,-0.440000,-0.640000
19.408576,8.500000,4.780000,0.940000,,,
19.517717,,,,-0.080000,0.370000,-0.430000
19.550095,8.460000,4.860000,0.940000,,,
19.601131,,,,0.020000,0.140000,-0.800000
19.633720,8.430000,4.890000,0.980000,,,
19.634755,,,,-0.060000,0.270000,-0.470000
19.635409,8.430000,4.870000,1.100000,,,
19.784527,,,,-0.030000,-0.090000,-0.450000
19.784652,8.420000,4.880000,1.150000,,,
19.817743,,,,-0.190000,-0.150000,-0.280000
19.817968,8.310000,5.020000,1.350000,,,
19.900938,,,,-0.390000,0.840000,0.520000
19.901062,8.160000,5.200000,1.530000,,,
19.951374,,,,-0.110000,0.130000,0.370000
19.951498,8.080000,5.310000,1.620000,,,
20.067504,,,,1.010000,5.940000,0.330000
20.068037,7.830000,5.590000,1.850000,,,
20.150817,,,,1.680000,1.760000,1.210000
20.151432,7.350000,5.970000,2.510000,,,
20.201675,,,,1.410000,2.470000,0.290000
20.201806,6.800000,6.420000,2.920000,,,
20.235332,,,,1.380000,1.720000,0.370000
20.259503,6.180000,6.780000,3.430000,,,
20.318238,5.650000,7.000000,3.890000,,,
20.318278,,,,1.290000,0.280000,1.090000
20.369366,,,,-0.040000,0.600000,-1.450000
20.369499,4.360000,7.380000,4.750000,,,
20.484573,,,,-0.090000,-0.150000,-3.000000
20.484847,3.480000,7.480000,5.280000,,,
20.508945,,,,-0.680000,0.060000,-2.700000
20.534767,2.510000,7.600000,5.660000,,,
20.618805,,,,-0.220000,-2.000000,-2.060000
20.618939,1.650000,7.630000,5.920000,,,
20.676466,,,,-0.340000,-1.690000,-1.370000
20.676644,0.640000,7.740000,5.980000,,,
20.735125,,,,-1.230000,0.960000,-2.530000
20.735385,-0.330000,7.970000,5.690000,,,
20.785468,,,,0.190000,-1.960000,-0.940000
20.841639,-1.150000,7.870000,5.720000,,,
20.869298,,,,0.280000,-3.140000,-0.400000
20.902316,-1.560000,7.760000,5.780000,,,
20.985401,,,,0.150000,-2.290000,-0.600000
20.985615,-1.860000,7.670000,5.810000,,,
21.035627,,,,0.370000,0.480000,-0.770000
21.092003,-1.930000,7.700000,5.750000,,,
21.092344,,,,0.210000,0.050000,0.460000
21.092466,-1.800000,7.730000,5.750000,,,
21.203031,,,,-0.300000,2.060000,-0.770000
21.203156,-1.800000,7.790000,5.660000,,,
21.402484,,,,-0.530000,-0.080000,-0.400000
21.402609,-1.810000,7.700000,5.780000,,,
21.453274,,,,-0.120000,-0.410000,-0.570000
21.453403,-1.860000,7.650000,5.840000,,,
21.510021,,,,-0.140000,-0.080000,-0.760000
21.569438,,,,-0.010000,-0.210000,-0.240000
21.569718,-1.870000,7.650000,5.830000,,,
21.569836,-1.870000,7.660000,5.820000,,,
21.652432,,,,-0.180000,0.200000,-0.550000
21.652736,-1.860000,7.700000,5.770000,,,
21.735913,,,,0.000000,-0.550000,-0.150000
21.736245,-1.830000,7.720000,5.750000,,,
21.761241,,,,0.010000,-0.230000,-0.290000
21.761428,-1.820000,7.750000,5.710000,,,
21.819811,,,,-0.330000,-0.090000,-0.480000
21.819932,-1.800000,7.770000,5.690000,,,
21.887001,,,,-0.320000,-0.270000,-0.140000
21.887164,-1.770000,7.810000,5.650000,,,
21.943831,-1.780000,7.870000,5.560000,,,
21.943999,,,,-0.120000,0.170000,-0.230000
22.019921,,,,-0.070000,-0.090000,-0.450000
22.020056,-1.740000,7.880000,5.560000,,,
