Time (s),lin_accel_x,lin_accel_y,lin_accel_z
0.069333,0.010000,-0.220000,-0.110000
0.115239,-0.040000,0.140000,0.200000
0.181219,-0.040000,0.180000,0.090000
0.214736,-0.020000,0.130000,0.180000
0.337779,-0.020000,-0.010000,-0.020000
0.414700,-0.020000,0.100000,0.030000
0.481280,-0.020000,0.080000,0.010000
0.481778,-0.010000,-0.050000,0.010000
0.515135,-0.020000,0.210000,0.180000
0.582888,-0.100000,-0.360000,0.000000
0.640020,0.520000,-2.160000,-0.920000
0.715667,0.890000,-2.470000,-1.450000
0.782192,0.220000,0.040000,-1.010000
0.815713,-0.110000,-1.700000,-0.140000
0.866031,0.540000,-1.020000,-0.630000
0.966078,0.530000,-0.630000,-0.980000
0.999412,0.140000,-0.300000,-1.130000
1.049487,0.000000,0.090000,-1.690000
1.107123,-0.360000,0.120000,-1.890000
1.165898,-0.410000,0.280000,-1.690000
1.249732,-0.310000,0.580000,-0.960000
1.300104,-0.340000,1.330000,-0.600000
1.363649,0.000000,2.040000,0.250000
1.415949,-0.190000,1.820000,1.820000
1.466540,-3.530000,6.070000,-1.890000
1.549649,0.040000,1.680000,0.770000
1.583106,-0.140000,5.000000,0.660000
1.733131,-0.090000,2.780000,0.910000
1.766238,-0.610000,1.280000,-0.050000
1.849833,-0.440000,0.760000,0.700000
1.933004,-0.210000,1.470000,-0.690000
2.066648,-0.120000,1.670000,0.090000
2.100260,-0.180000,0.580000,0.110000
2.317141,-0.260000,-0.180000,0.150000
2.433369,-0.490000,-0.100000,-0.080000
2.483598,3.570000,2.300000,-0.780000
2.567514,3.490000,-0.610000,0.280000
2.600368,4.660000,5.150000,0.040000
2.601336,3.130000,-3.980000,1.900000
2.750902,2.620000,-9.790000,0.400000
2.783452,1.850000,-5.100000,0.590000
2.909512,2.350000,-2.470000,-0.890000
2.934370,0.940000,-0.930000,-0.550000
2.967678,1.260000,0.700000,-1.570000
3.050970,0.940000,4.670000,-2.770000
3.101964,-2.170000,7.400000,-0.410000
3.134443,2.750000,6.040000,-0.220000
3.217781,-4.430000,8.650000,1.530000
3.268544,15.430000,6.270000,4.010000
3.351799,-3.660000,9.510000,-2.190000
3.384318,-1.910000,-2.780000,6.120000
3.467952,-0.860000,2.750000,2.070000
3.518716,-0.090000,3.400000,-0.190000
3.575556,-0.690000,1.650000,0.360000
3.768818,-0.440000,2.770000,0.050000
3.801695,-0.150000,0.980000,-0.280000
3.802474,-0.510000,0.800000,-0.020000
3.951784,-0.130000,0.820000,-0.290000
3.985024,-0.210000,0.690000,0.340000
4.118837,-0.640000,-0.680000,0.740000
4.177465,3.050000,1.660000,0.170000
4.235524,9.530000,-1.400000,0.170000
4.286039,7.770000,3.960000,2.790000
4.369479,3.730000,-8.770000,3.420000
4.536518,-2.640000,-2.620000,-5.300000
4.594865,1.520000,1.550000,-1.870000
4.652221,2.100000,2.100000,1.380000
4.761688,0.580000,6.190000,-0.440000
4.786915,1.930000,9.350000,-2.130000
4.819513,-2.250000,9.260000,1.710000
4.953016,2.160000,8.880000,-0.030000
5.009941,-3.410000,-15.310000,7.230000
5.152789,-1.490000,-0.450000,2.510000
5.219469,-0.680000,2.220000,1.360000
5.252962,-0.080000,1.330000,0.280000
5.304605,0.200000,1.640000,-0.480000
5.420165,0.000000,0.500000,0.090000
5.502772,-0.120000,0.590000,-0.170000
5.503659,-0.050000,0.150000,-0.320000
5.554547,-0.520000,0.190000,-0.160000
5.670468,-0.410000,0.520000,0.430000
5.720534,0.390000,0.720000,0.460000
5.836461,5.390000,0.610000,-0.090000
5.920067,6.770000,4.010000,4.490000
5.971083,-1.970000,-1.760000,-5.110000
6.220856,-0.440000,-9.800000,0.650000
6.253903,0.460000,-0.010000,1.330000
6.337543,2.970000,4.910000,-0.400000
6.403839,0.530000,6.660000,-0.420000
6.463305,-0.160000,7.050000,0.620000
6.521424,-1.560000,7.280000,0.780000
6.572154,-1.470000,7.650000,-10.600000
6.629286,-4.530000,-5.900000,2.660000
6.771380,-0.680000,3.440000,1.150000
6.854516,0.060000,1.800000,0.600000
6.938121,0.010000,2.180000,1.160000
7.046115,-0.150000,0.980000,-0.210000
7.104799,0.000000,0.300000,-0.270000
7.238422,-0.080000,0.680000,-0.120000
7.271638,0.010000,1.300000,0.540000
7.355318,-0.600000,0.010000,0.150000
7.405295,-1.400000,2.190000,-0.180000
7.488596,-1.340000,-1.350000,1.940000
7.522177,2.600000,-2.350000,-2.490000
7.605445,6.350000,0.850000,-6.780000
7.655864,-1.510000,-6.970000,5.140000
7.772392,1.540000,0.440000,1.380000
7.906256,1.230000,2.600000,1.370000
7.939090,-2.820000,1.990000,-4.880000
8.022693,-4.760000,-3.960000,-4.230000
8.073068,-3.370000,-4.310000,-3.650000
8.130883,-0.550000,-2.940000,-0.760000
8.188859,1.340000,-0.480000,-0.050000
8.272718,2.650000,-0.060000,-0.770000
8.323290,1.080000,-0.760000,0.580000
8.356405,1.240000,-0.830000,-0.130000
8.489881,0.700000,-0.940000,0.330000
8.606112,-0.820000,1.330000,-1.520000
8.656926,0.590000,-0.490000,-1.490000
8.740279,0.110000,-0.180000,0.090000
8.856631,0.260000,-0.300000,-0.330000
8.907146,0.240000,-0.110000,-0.650000
9.022857,0.110000,-0.420000,-0.510000
9.023691,0.130000,-0.240000,-0.400000
9.107222,0.180000,-0.080000,-0.850000
9.215451,0.260000,-0.370000,-0.150000
9.273795,0.270000,-0.370000,-0.070000
9.324446,0.300000,-0.420000,-0.710000
9.440311,0.190000,-0.680000,-0.800000
9.524059,0.100000,0.660000,-0.180000
9.632429,0.360000,-0.190000,-0.410000
9.690647,0.070000,-1.290000,-0.320000
9.773695,0.140000,0.290000,-0.200000
9.857629,0.090000,0.570000,-0.330000
10.074862,0.970000,0.330000,-1.000000
10.107912,2.190000,-0.480000,1.310000
10.191274,2.970000,0.150000,0.370000
10.241711,-0.490000,1.090000,-1.750000
10.408348,0.040000,0.030000,-1.010000
10.466311,0.610000,-1.160000,-0.130000
10.525173,0.520000,-0.660000,-0.990000
10.608058,0.340000,-0.410000,-1.660000
10.691556,0.140000,-0.080000,-1.750000
10.717205,-0.260000,0.240000,-1.050000
10.775408,2.470000,-0.620000,0.620000
10.825988,-3.400000,3.790000,-1.480000
10.942137,-1.050000,2.150000,-2.090000
11.025010,-0.360000,1.120000,-1.590000
11.025810,-0.340000,-0.260000,-0.710000
11.134511,-0.030000,0.490000,-0.960000
11.192160,0.030000,-0.330000,-0.310000
11.193103,0.110000,0.410000,-0.540000
11.326233,0.360000,-0.240000,-1.150000
11.442762,0.260000,-0.430000,-0.840000
11.492825,0.200000,-0.730000,-0.910000
11.550973,0.200000,0.140000,-0.200000
11.609557,0.100000,0.410000,-0.190000
11.692553,-0.170000,-0.880000,-0.460000
11.717509,0.190000,-0.970000,0.270000
11.859788,1.740000,1.960000,0.710000
11.909822,0.450000,0.840000,0.110000
11.943386,-0.020000,1.120000,-0.050000
12.110072,0.750000,0.050000,-1.340000
12.160436,0.530000,-0.850000,-1.030000
12.218795,-0.030000,-0.440000,-0.910000
12.276814,0.010000,-0.170000,-0.240000
12.278247,0.210000,-1.060000,-0.970000
12.401887,0.310000,2.960000,0.260000
12.460956,-0.090000,-0.690000,-0.330000
12.568093,6.430000,3.160000,1.520000
12.627161,0.810000,-2.820000,2.250000
12.710644,0.270000,-1.430000,0.140000
12.810687,0.390000,-0.910000,-0.430000
12.860761,-0.120000,-0.710000,-1.240000
12.944748,0.500000,-0.930000,-0.940000
12.977441,-1.110000,-0.640000,-1.580000
13.127908,-0.390000,0.270000,-1.200000
13.160752,-0.920000,5.590000,-2.780000
13.244465,2.770000,-2.870000,-1.470000
13.294901,-2.510000,4.290000,-4.770000
13.411390,-0.250000,2.690000,-1.180000
13.511087,-0.130000,-0.510000,-0.660000
13.570789,-0.220000,-0.380000,0.220000
13.669559,-0.050000,1.440000,-1.250000
13.778573,0.120000,0.600000,-0.360000
13.838644,0.120000,-0.060000,-0.760000
13.894864,0.250000,-0.200000,-0.750000
13.945727,0.140000,-0.020000,-0.450000
13.978930,0.190000,-0.190000,-0.230000
14.078476,-0.060000,-0.140000,-0.790000
14.128832,2.200000,1.210000,-0.690000
14.187662,1.150000,-0.340000,-0.420000
14.244678,2.500000,-0.580000,-0.460000
14.329013,7.070000,0.050000,-0.210000
14.378972,3.630000,2.310000,1.810000
14.412129,3.420000,-3.930000,1.270000
14.511902,0.450000,-1.540000,-4.100000
14.562608,0.930000,-6.830000,0.840000
14.596058,1.680000,-2.650000,-0.790000
14.679188,1.580000,-1.220000,-1.300000
14.729368,1.480000,-1.820000,-1.300000
14.845527,1.840000,1.640000,-2.420000
14.929447,4.480000,5.180000,0.110000
14.979749,-2.590000,4.050000,1.040000
15.036708,-0.260000,5.150000,1.290000
15.146930,-2.610000,8.080000,-1.770000
15.205088,-0.020000,1.580000,-0.910000
15.262970,1.370000,-1.360000,0.370000
15.346625,0.020000,1.360000,-0.820000
15.455637,0.130000,-0.070000,-1.780000
15.513046,0.140000,0.410000,-0.800000
15.514057,0.080000,0.820000,-0.770000
15.696363,0.000000,0.070000,-0.960000
15.747028,0.250000,-0.080000,-0.850000
15.805447,0.230000,0.170000,-0.420000
15.863554,1.610000,-0.780000,-0.890000
15.947040,2.910000,-0.630000,-1.450000
15.997450,4.050000,0.000000,-0.450000
16.056298,5.930000,-0.570000,-0.650000
16.113987,6.070000,-0.880000,-0.120000
16.164260,4.150000,-4.260000,1.930000
16.247682,3.200000,-10.490000,-0.900000
16.280793,0.940000,-3.050000,-0.900000
16.364502,0.920000,-5.460000,1.290000
16.414662,0.500000,0.650000,-0.310000
16.473319,2.420000,0.170000,2.040000
16.531235,3.060000,5.200000,-0.030000
16.614390,1.280000,4.360000,1.410000
16.664998,-3.200000,5.990000,-0.210000
16.698391,-2.770000,7.330000,-1.850000
16.781324,0.320000,7.290000,-0.610000
16.805817,1.490000,-4.020000,-3.020000
16.890161,-2.300000,1.420000,-0.400000
16.947940,-0.390000,1.580000,0.500000
17.031394,-0.430000,0.550000,-0.710000
17.198104,-0.150000,1.810000,-0.280000
17.248503,0.180000,0.820000,-0.920000
17.465008,0.030000,0.420000,-0.020000
17.565097,-0.070000,0.180000,-0.610000
17.615780,0.080000,-0.680000,-0.570000
17.675558,-0.110000,1.500000,-1.450000
17.732280,1.230000,-0.690000,-0.700000
17.782546,6.670000,-0.160000,-0.470000
17.865844,3.810000,0.200000,1.950000
17.899160,2.280000,-2.670000,1.360000
17.982539,0.730000,2.820000,-2.510000
18.090294,2.630000,-7.730000,0.390000
18.149604,-1.400000,-2.420000,1.170000
18.249628,0.840000,0.690000,-1.690000
18.300251,0.390000,0.960000,-1.200000
18.333230,0.640000,5.050000,-2.970000
18.333698,-0.610000,5.150000,-3.150000
18.533250,-1.410000,4.350000,-2.800000
18.599702,-1.890000,3.330000,-1.510000
18.633183,-1.470000,2.110000,3.390000
18.799898,-0.430000,0.890000,-2.880000
18.882941,-0.180000,1.600000,0.800000
18.933708,-0.250000,1.030000,1.350000
18.991819,-0.130000,0.950000,-1.040000
19.050397,-0.100000,0.660000,-0.610000
19.133424,-0.090000,0.300000,-0.340000
19.184166,-0.040000,0.410000,-0.540000
19.217044,-0.110000,0.650000,-0.100000
19.300625,0.000000,-0.280000,-0.490000
19.350681,0.000000,-0.070000,-0.740000
19.408372,0.030000,-0.440000,-0.640000
19.517717,-0.080000,0.370000,-0.430000
19.601131,0.020000,0.140000,-0.800000
19.634755,-0.060000,0.270000,-0.470000
19.784527,-0.030000,-0.090000,-0.450000
19.817743,-0.190000,-0.150000,-0.280000
19.900938,-0.390000,0.840000,0.520000
19.951374,-0.110000,0.130000,0.370000
20.067504,1.010000,5.940000,0.330000
20.150817,1.680000,1.760000,1.210000
20.201675,1.410000,2.470000,0.290000
20.235332,1.380000,1.720000,0.370000
20.318278,1.290000,0.280000,1.090000
20.369366,-0.040000,0.600000,-1.450000
20.484573,-0.090000,-0.150000,-3.000000
20.508945,-0.680000,0.060000,-2.700000
20.618805,-0.220000,-2.000000,-2.060000
20.676466,-0.340000,-1.690000,-1.370000
20.735125,-1.230000,0.960000,-2.530000
20.785468,0.190000,-1.960000,-0.940000
20.869298,0.280000,-3.140000,-0.400000
20.985401,0.150000,-2.290000,-0.600000
21.035627,0.370000,0.480000,-0.770000
21.092344,0.210000,0.050000,0.460000
21.203031,-0.300000,2.060000,-0.770000
21.402484,-0.530000,-0.080000,-0.400000
21.453274,-0.120000,-0.410000,-0.570000
21.510021,-0.140000,-0.080000,-0.760000
21.569438,-0.010000,-0.210000,-0.240000
21.652432,-0.180000,0.200000,-0.550000
21.735913,0.000000,-0.550000,-0.150000
21.761241,0.010000,-0.230000,-0.290000
21.819811,-0.330000,-0.090000,-0.480000
21.887001,-0.320000,-0.270000,-0.140000
21.943999,-0.120000,0.170000,-0.230000
22.019921,-0.070000,-0.090000,-0.450000
