Master Time (s),imag_part_kohm,impedance_change_speed_ohm_per_s,impedance_magnitude_ohm,impedance_phase_deg,real_part_kohm
26.957838,-89.660543,-11937.071599,130385.253590,-43.445053,94.664150
27.074075,-87.298337,-25713.144886,126641.979141,-43.577234,91.745252
27.135916,-87.462973,-22029.516820,126899.885968,-43.569041,91.944600
27.252165,-87.448876,-11219.847559,126882.900790,-43.567551,91.934567
27.369095,-88.399915,5026.693229,128281.276593,-43.559702,92.959889
27.457697,-89.400583,7784.655169,129825.848679,-43.520912,94.139719
27.574475,-89.805936,11962.732510,130605.234808,-43.441501,94.829432
27.691265,-91.656398,15313.584130,133538.679251,-43.343124,97.116855
27.718489,-93.375182,19978.109778,136223.967739,-43.271275,99.186919
27.834917,-93.130838,18897.731454,135934.801309,-43.244575,99.019782
27.969624,-92.616070,10712.109147,135196.520934,-43.239361,98.490420
28.041663,-92.309602,326.450249,134744.138452,-43.241366,98.157630
28.192391,-92.284619,-3517.896129,134700.509994,-43.244231,98.121233
28.270225,-92.273719,-1502.105377,134649.384543,-43.258326,98.061295
28.341950,-92.108364,-1669.641029,134396.524787,-43.262967,97.869684
28.475968,-91.444391,-5214.539592,133268.774199,-43.327310,96.945807
28.592085,-90.388775,-7997.923120,131521.343772,-43.413254,95.539171
28.625660,-89.306751,-12779.446321,129691.909439,-43.519938,94.044115
28.742324,-88.036804,-21060.758012,127800.722560,-43.539935,92.642030
28.859178,-87.994267,-15504.632627,127692.353485,-43.559816,92.532946
28.942536,-88.736351,-7369.850585,128791.842868,-43.550248,93.344517
29.060146,-89.019842,5039.509746,129223.557981,-43.541711,93.670676
29.176124,-89.318538,5790.255103,129663.701006,-43.538961,93.994011
29.236484,-89.816103,6553.835323,130571.910225,-43.461497,94.773896
29.353403,-91.018235,11355.259251,132505.329298,-43.385408,96.298200
29.470571,-92.318539,16710.563942,134571.986152,-43.315564,97.912751
29.526467,-92.473632,15612.497490,134899.106376,-43.275114,98.216070
29.676601,-92.267098,6258.325989,134660.045544,-43.250190,98.082162
29.810023,-92.391252,415.767295,134864.183933,-43.241023,98.245634
29.837069,-92.376660,379.465834,134816.077220,-43.251737,98.193317
29.987419,-92.464515,886.844060,134944.438127,-43.251680,98.286901
30.093697,-92.421786,198.430732,134873.620648,-43.255060,98.229868
30.121043,-92.527013,391.294433,135016.275742,-43.259415,98.326734
30.327908,-92.662747,911.842578,135218.650663,-43.257696,98.476895
30.405455,-92.737747,1322.418340,135340.177027,-43.252883,98.573190
30.494886,-92.877270,1361.632175,135547.972944,-43.251221,98.727229
30.578150,-92.779182,978.989734,135423.536043,-43.243773,98.648657
30.694417,-93.162781,1796.416764,135967.403108,-43.250133,99.034494
30.727792,-93.274712,2158.410494,136148.275106,-43.243200,99.177522
30.844514,-93.388937,2638.864570,136316.452511,-43.242627,99.300965
30.994571,-93.322958,650.983576,136199.582959,-43.250763,99.202580
31.021893,-92.562457,-1679.991817,135031.409197,-43.274025,98.314154
31.156297,-91.912802,-7914.214187,133903.875293,-43.346504,97.377024
31.274996,-90.232799,-16561.303252,131056.044751,-43.511917,95.045930
31.328240,-85.718963,-29443.882598,123923.914950,-43.765336,89.495229
31.462355,-82.293558,-51904.527915,118814.855293,-43.837873,85.701459
31.612053,-80.217297,-41627.943291,115688.799136,-43.898950,83.361163
31.662071,-79.893436,-36727.656725,115178.168135,-43.919806,82.964145
31.762766,-80.178650,-11390.050746,115629.578078,-43.900612,83.316165
31.895593,-80.945532,4441.138051,116760.532449,-43.888809,84.147744
31.945350,-81.071590,4872.375594,116967.659777,-43.876891,84.313882
32.079057,-81.792124,7567.487293,118049.833595,-43.857010,85.122334
32.195844,-82.549993,8133.346701,119164.495825,-43.847384,85.939954
32.223891,-82.871749,8724.447034,119645.283155,-43.839878,86.297549
32.340358,-83.092735,8090.077254,119972.449377,-43.836154,86.538928
32.456767,-82.886417,4226.161362,119684.656937,-43.831513,86.338051
32.546483,-82.483278,-334.710481,119100.927945,-43.832258,85.915888
32.662986,-82.102054,-4740.412173,118487.165394,-43.861650,85.431031
32.779641,-81.699739,-5454.023768,117909.500961,-43.860275,85.016487
32.806817,-81.144859,-6620.924707,117060.952983,-43.882735,84.372855
32.924955,-80.953422,-6457.271445,116781.990451,-43.884053,84.169928
33.096794,-81.078819,-2037.799495,116973.101740,-43.879240,84.314481
33.130127,-81.198828,-1263.128676,117158.667623,-43.873396,84.456520
33.253110,-81.141790,1006.332962,117080.388048,-43.871505,84.402768
33.363600,-81.081245,-172.029869,116991.324171,-43.872307,84.337427
33.447658,-80.936492,-705.339557,116758.174908,-43.883767,84.153167
33.563926,-80.791914,-1776.796560,116551.788176,-43.882735,84.005869
33.741262,-80.666725,-1555.711385,116385.469936,-43.875974,83.895513
33.741417,-80.593061,-1634.909246,116287.169420,-43.872193,83.829973
33.857708,-80.556167,-1072.755110,116242.520997,-43.868125,83.803506
34.048320,-80.574479,-343.773893,116233.642153,-43.884855,83.773581
34.048687,-80.280859,-1042.511928,115804.176555,-43.887663,83.460117
34.181460,-79.576138,-4176.852050,114778.319351,-43.892132,82.714574
34.242310,-79.404592,-4935.223724,114494.473360,-43.909664,82.485728
34.364782,-79.288030,-5725.738555,114363.592515,-43.891731,82.416258
34.464801,-79.189397,-1898.658272,114184.062796,-43.909722,82.262018
34.614962,-79.190443,-758.177496,114232.333569,-43.887147,82.328001
34.665100,-79.253104,-200.442617,114282.452005,-43.906570,82.337260
34.749216,-79.215639,-146.595746,114250.389200,-43.895971,82.328816
34.881975,-79.302529,436.806570,114366.080533,-43.900612,82.405760
34.959423,-79.278974,334.732873,114337.813966,-43.897861,82.389198
35.065221,-79.476676,1114.076152,114639.743263,-43.889783,82.617968
35.181956,-80.045685,3565.790479,115418.634159,-43.909779,83.151365
35.208961,-80.285142,4387.484990,115790.495326,-43.897117,83.437011
35.415968,-80.550688,4150.558935,116174.562307,-43.896601,83.714489
35.443688,-80.741647,4270.252473,116511.866023,-43.867323,83.998817
35.532509,-80.572149,2446.662735,116246.960927,-43.876948,83.794300
35.649304,-83.274251,16586.975317,120282.642064,-43.814152,86.794661
35.766129,-88.289087,33234.447547,128501.348294,-43.398414,93.368269
35.850087,-91.058828,54305.179376,132915.277749,-43.242627,96.823349
35.966270,-91.556221,42988.269492,133687.794448,-43.223891,97.416039
36.083113,-91.905528,16030.941376,134211.551689,-43.218391,97.806516
36.199781,-92.110607,4530.753016,134501.871796,-43.222058,98.012191
36.259526,-92.242762,3396.619600,134714.631222,-43.214151,98.179961
36.376591,-92.085699,1029.023189,134483.103569,-43.215010,98.009842
36.434328,-92.064128,405.690250,134389.965598,-43.239705,97.902294
36.550498,-90.346253,-6846.984746,131807.339897,-43.270358,95.972545
36.667233,-82.752051,-48733.767118,119986.887783,-43.604450,86.884701
36.727291,-76.136298,-68066.627033,109710.330002,-43.945646,78.991269
36.843935,-77.689438,-71655.124301,112005.781260,-43.917342,80.682379
36.977385,-81.481465,1143.728535,117654.246127,-43.832315,84.872213
37.035086,-82.819161,9663.206311,119664.347726,-43.796219,86.374433
37.167529,-82.907889,24457.972570,119804.919598,-43.790546,86.484107
37.350879,-83.024666,4953.281764,120083.066461,-43.740527,86.757407
37.351115,-83.774651,6268.689346,121291.571815,-43.684607,87.712332
37.484446,-88.799419,28122.055631,129449.195645,-43.312642,94.190007
37.568408,-92.483589,65900.208098,135025.103179,-43.230595,98.379694
37.628635,-92.747029,57296.043222,135401.656253,-43.233803,98.648858
37.818631,-92.439571,12755.804724,134952.941223,-43.233746,98.322032
37.895464,-92.103471,-1963.557334,134448.396154,-43.239304,97.945505
37.951527,-92.284035,-1672.984433,134698.941152,-43.244518,98.119629
38.085577,-92.382852,1.677366,134832.423363,-43.248815,98.209934
38.166947,-92.482145,622.579283,135004.612685,-43.237929,98.352928
38.251869,-88.971271,-9782.199054,129585.537655,-43.360255,94.215310
38.368547,-79.082976,-74815.152088,114188.121383,-43.833690,82.369958
38.485437,-75.770566,-73236.348380,109158.407795,-43.958251,78.577219
38.512647,-77.454420,-75127.490918,111683.889513,-43.908977,80.461817
38.645813,-81.395203,-30945.754877,117518.673040,-43.837472,84.767090
38.778945,-82.498181,33651.220975,119214.120982,-43.789973,86.058449
38.835758,-82.594321,28394.213237,119362.012834,-43.785848,86.171157
38.969527,-82.700865,6126.199338,119538.436030,-43.775535,86.313410
39.085985,-82.842391,1960.782187,119849.117885,-43.726948,86.608021
39.119337,-86.702081,13281.103377,126166.173366,-43.409300,91.655074
39.263376,-91.772758,51734.971598,133936.440747,-43.251049,97.553734
39.379452,-92.396422,48161.303532,134891.239383,-43.233230,98.277910
39.436474,-92.333558,39260.389356,134788.423542,-43.237642,98.195892
39.553236,-92.219880,2153.698551,134606.444079,-43.244059,98.052989
39.669976,-92.259941,-780.572877,134678.235854,-43.238731,98.113865
39.730751,-92.594799,394.174929,135159.864755,-43.241596,98.460105
39.846536,-92.447977,1441.966649,134947.272374,-43.240908,98.306347
39.963889,-91.565730,-3878.389773,133600.075636,-43.264858,97.286676
40.080312,-84.953639,-31966.255844,123187.891153,-43.600554,89.208384
40.170446,-77.943585,-71127.033202,112187.662094,-44.008156,80.689956
40.303829,-78.771288,-62951.214555,113298.576840,-44.047461,81.434954
40.331720,-81.596452,-46500.319118,117470.449086,-43.996353,84.506364
40.448111,-81.930146,-7615.743477,117928.016334,-44.007067,84.820211
40.564339,-81.859412,15478.206184,117836.938311,-44.002025,84.761906
40.654143,-82.284676,9882.467526,118499.548629,-43.978477,85.272358
40.771159,-82.428072,2879.649442,118745.563402,-43.960085,85.475855
40.888002,-82.520426,3211.828026,118946.341455,-43.928629,85.665696
40.915397,-82.997883,4324.321075,119776.133760,-43.863427,86.357824
41.032422,-85.368682,12259.432942,123758.152979,-43.614476,89.600605
41.149021,-91.013981,37478.039896,132742.583633,-43.286172,96.628405
41.238136,-92.684225,49391.011523,135256.604201,-43.255060,98.508799
41.419064,-92.731534,27672.599592,135335.425804,-43.251164,98.572512
41.489028,-92.589760,5795.458674,135156.389770,-43.240049,98.460074
41.638690,-91.834707,-6456.986210,133976.161017,-43.271447,97.549978
41.688682,-91.775346,-6133.896295,133823.614840,-43.298032,97.396334
41.772424,-91.589818,-5667.259294,133492.746025,-43.322440,97.116520
41.834706,-91.204517,-6164.655974,132900.309434,-43.334988,96.665549
41.950497,-90.966422,-5254.417461,132414.909727,-43.391539,96.222754
42.066865,-90.714173,-4978.690044,131997.189450,-43.412280,95.886375
42.155779,-90.127472,-5858.504483,130980.347638,-43.479831,95.041519
42.272404,-89.203175,-9959.962663,129245.508596,-43.644671,93.526441
42.389038,-87.035126,-22006.820387,124730.367050,-44.249657,89.345125
42.417150,-81.475189,-48323.693736,109883.156018,-47.856885,73.729923
42.533016,-77.990560,-75823.788863,103774.986697,-48.723541,68.459626
42.678642,-76.539531,-63915.508414,101605.129159,-48.877380,66.822919
42.772990,-77.260032,-44502.963245,102756.140349,-48.753278,67.747412
42.873190,-77.684863,-395.904398,103504.349940,-48.637769,68.397460
43.007328,-77.776988,6011.178258,103613.957443,-48.646020,68.458691
43.084164,-77.639988,1822.771304,103344.897618,-48.700566,68.207038
43.174001,-77.685671,-399.042153,103443.063568,-48.677017,68.303762
43.290013,-77.707618,-290.386762,103471.012999,-48.677819,68.321129
43.317904,-78.870972,5493.861824,106243.917596,-47.932630,71.183845
43.434450,-82.584713,30736.007047,115280.347075,-45.756536,80.432105
43.551483,-88.853129,71544.972005,129220.381536,-43.441157,93.824455
43.640821,-90.578795,86084.504347,132129.896623,-43.277176,96.196629
43.757361,-91.080247,53021.092829,132896.949663,-43.262738,96.778034
43.874106,-91.133605,10697.841460,132977.631072,-43.261592,96.838610
43.957501,-90.848788,1360.116735,132528.105355,-43.275400,96.489360
44.074328,-90.105504,-5040.230848,131307.212589,-43.331550,95.512210
44.191677,-88.736426,-12839.380519,128879.965627,-43.513063,93.465995
44.224439,-84.325810,-32424.996446,117895.077428,-45.664634,82.391790
44.341181,-78.692159,-70847.723237,104614.378409,-48.782327,68.932665
44.485322,-76.539967,-87271.945208,101202.719579,-49.139394,66.208941
44.541437,-76.257923,-72285.915811,100770.108736,-49.178642,65.873697
44.691850,-77.233119,-6544.198208,102285.563975,-49.031792,67.062523
44.768478,-77.850595,8274.432929,103353.578990,-48.872281,67.979756
44.825805,-78.269658,9455.864753,104205.102550,-48.686757,68.793634
44.958609,-78.307742,7021.485953,104215.055945,-48.712254,68.765365
45.092778,-77.754621,-1184.761442,103120.612198,-48.939489,67.735364
45.125697,-77.970389,-1325.476392,103387.949369,-48.951464,67.894672
45.242177,-80.267706,18037.857653,109605.939432,-47.082074,74.636167
45.358909,-86.737290,81640.209794,124985.941624,-43.945703,89.989600
45.442389,-90.162984,85387.088615,131421.209569,-43.319117,95.614699
45.559104,-90.839846,72501.987549,132482.561068,-43.288635,96.435219
45.676643,-91.003073,21630.545787,132765.441332,-43.270415,96.670074
45.736458,-90.413846,15253.272095,131859.035532,-43.289552,95.979902
45.852430,-88.833183,-10890.579468,129332.517887,-43.381970,93.997690
45.969522,-85.773602,-31066.295968,123543.984091,-43.969538,88.915719
46.086491,-80.177722,-65149.173796,108456.987979,-47.668267,73.037327
46.176444,-79.271708,-77902.202815,106312.086779,-48.215041,70.839650
46.293107,-80.036377,-41387.201989,109721.779304,-46.840172,75.053629
46.324731,-81.247287,-24384.530864,113494.038833,-45.714768,79.245033
46.441527,-82.188268,23392.167187,115409.650390,-45.409611,81.021454
46.556680,-82.876574,28355.701065,116972.391890,-45.114136,82.547041
46.643648,-83.502277,22434.516364,119015.622980,-44.556133,84.806180
46.760400,-84.100052,15625.708755,120206.630283,-44.397251,85.888388
46.877197,-83.463003,3299.511656,117941.485713,-45.045209,83.331394
46.906024,-83.429873,-508.319826,117019.734088,-45.475902,82.055313
47.077392,-82.698822,-14535.439408,115511.317667,-45.720039,80.645951
47.194710,-81.674953,-14006.180244,113054.254702,-46.256328,78.169474
47.227554,-81.749448,-15469.163784,112001.876322,-46.877471,76.560095
47.360880,-84.204529,8521.906969,117850.867254,-45.602296,82.452557
47.477776,-87.960404,52348.142566,127473.074632,-43.632582,92.262409
47.505877,-89.298442,57114.702929,130068.808018,-43.357448,94.571048
47.639120,-89.742271,46076.344813,130822.407894,-43.313158,95.188378
47.773369,-89.780900,8767.048225,130875.110871,-43.314648,95.224391
47.844695,-89.263512,5182.587122,130072.904056,-43.334587,94.609649
47.978090,-88.540252,-6228.742058,128784.672054,-43.433021,93.520669
48.112502,-87.300635,-13364.611409,126232.548784,-43.755768,91.177056
48.144925,-85.757267,-18702.667348,122853.417389,-44.270399,87.969616
48.261854,-82.199362,-58988.365486,111923.618063,-47.258545,75.961577
48.378513,-81.165722,-61516.836995,110397.117870,-47.325467,74.830804
48.406432,-81.797927,-46380.903664,113984.646103,-45.858523,79.382609
48.523038,-83.711544,-10581.138302,118610.141176,-44.891829,84.028228
48.696221,-85.817095,39628.900518,123910.372136,-43.834206,89.382361
48.728928,-86.574629,39123.101052,125467.297200,-43.631493,90.812313
48.845668,-87.467922,27013.525081,127066.916740,-43.500515,92.170298
48.962503,-88.128708,14512.163946,128092.877969,-43.472498,92.957604
49.045745,-88.229493,11324.891781,128084.082525,-43.538388,92.849819
49.162709,-86.753611,-6079.550559,125009.718979,-43.945589,90.006893
49.280096,-84.142774,-32326.792467,117888.828326,-45.540589,82.569785
49.340061,-83.020838,-36870.077544,114950.126105,-46.239196,79.505169
49.456567,-83.341586,-33892.644805,115246.114169,-46.316144,79.598033
49.573606,-87.756579,27740.882862,126017.426870,-44.137644,90.438790
49.629933,-91.335554,44685.609727,133176.389919,-43.300438,96.921450
49.763468,-92.104224,63770.184770,134446.207999,-43.240622,97.941792
49.896771,-92.345095,21881.395663,134784.339301,-43.246007,98.179435
49.946757,-92.364399,17763.576290,134809.791297,-43.247096,98.196220
50.080237,-92.321661,969.367530,134757.012676,-43.243257,98.163962
50.213818,-92.180508,-808.993858,134529.095032,-43.252023,97.983832
50.313836,-91.490806,-3288.983754,133474.874520,-43.271275,97.185259
50.390831,-90.512575,-8893.723575,131877.078435,-43.341118,95.911613
50.480719,-89.532371,-16742.672505,130133.204168,-43.472440,94.438368
50.508194,-87.036648,-28852.282789,124243.959782,-44.469559,88.663315
50.624608,-83.003824,-58834.219394,115219.706696,-46.087190,79.912114
50.864350,-84.560475,-22507.960010,119348.463386,-45.114423,84.223404
50.864657,-86.581528,-11194.804884,124776.120994,-43.939229,89.848314
50.964756,-90.267084,42525.523240,131413.742981,-43.384606,95.506153
51.098701,-93.274661,61783.675157,136177.451706,-43.231626,99.217620
51.147948,-93.498006,53022.053097,136500.188223,-43.232944,99.450612
51.281443,-93.593796,16162.276590,136602.406087,-43.247783,99.500848
51.398759,-93.562012,1051.425848,136559.501092,-43.246408,99.471841
51.478252,-93.429999,318.082906,136333.485961,-43.259586,99.285723
51.598471,-92.649229,-4995.830292,134981.607697,-43.344556,98.163918
51.699286,-91.840324,-10100.167839,133612.114710,-43.421905,97.044073
51.777883,-90.287601,-14532.541204,130726.289972,-43.682487,94.538415
51.865388,-87.126791,-31229.894636,123075.411866,-45.065435,86.928012
52.099026,-84.729089,-39746.918895,117888.347653,-45.949165,81.967335
52.099459,-89.376243,-15155.386259,129474.411779,-43.653896,93.677694
52.127007,-91.771471,-847.222837,133836.003994,-43.290755,97.417006
52.243946,-92.415829,30458.440865,134896.903526,-43.242283,98.267436
52.332508,-92.544028,44229.199423,135102.708164,-43.234835,98.429389
52.465943,-92.622895,27854.182728,135220.864035,-43.233631,98.517417
52.643729,-92.743110,1127.404061,135375.346450,-43.241997,98.616428
52.643887,-92.756158,1167.802021,135429.244978,-43.228131,98.678141
52.776686,-92.807390,838.996216,135476.520757,-43.239075,98.694864
52.949770,-92.766146,126.872642,135434.319990,-43.231913,98.675717
52.950082,-92.780413,51.344213,135408.631650,-43.250419,98.627038
53.066683,-92.819626,15.984921,135493.662411,-43.239361,98.706887
53.183428,-92.842260,636.431059,135570.535725,-43.221943,98.791118
53.243736,-92.847170,419.409513,135513.984063,-43.247268,98.708880
53.361472,-92.648803,-989.784194,135201.894631,-43.256263,98.467008
53.477614,-92.181783,-3465.553442,134550.693711,-43.244117,98.012286
53.533751,-91.486951,-5435.844838,133450.539994,-43.278838,97.155465
53.650614,-91.454741,-6870.735296,133353.290557,-43.299178,97.052204
53.767301,-91.105023,-5512.639720,132656.100428,-43.375438,96.423626
53.827279,-89.311091,-10860.422836,129603.254166,-43.559816,93.917690
