Master Time (s),quat_w,quat_x,quat_y,quat_z
0.069481,0.706000,0.102000,-0.701000,-0.010000
0.114829,0.709000,0.102000,-0.698000,-0.010000
0.181414,0.711000,0.103000,-0.695000,-0.010000
0.214593,0.714000,0.103000,-0.692000,-0.009000
0.281077,0.716000,0.103000,-0.691000,-0.009000
0.338197,0.718000,0.103000,-0.689000,-0.008000
0.415204,0.720000,0.102000,-0.686000,-0.007000
0.481653,0.723000,0.102000,-0.683000,-0.007000
0.515006,0.726000,0.102000,-0.680000,-0.007000
0.582728,0.728000,0.101000,-0.678000,-0.008000
0.639791,0.732000,0.104000,-0.673000,-0.013000
0.715436,0.735000,0.141000,-0.663000,-0.005000
0.782057,0.740000,0.188000,-0.645000,0.022000
0.815577,0.740000,0.209000,-0.638000,0.050000
0.865892,0.738000,0.223000,-0.632000,0.080000
0.925014,0.735000,0.233000,-0.627000,0.112000
0.999453,0.730000,0.241000,-0.624000,0.144000
1.049355,0.721000,0.248000,-0.621000,0.181000
1.107034,0.714000,0.252000,-0.620000,0.207000
1.166290,0.698000,0.258000,-0.628000,0.229000
1.249691,0.674000,0.260000,-0.640000,0.263000
1.299959,0.656000,0.259000,-0.648000,0.288000
1.333262,0.630000,0.265000,-0.655000,0.321000
1.415809,0.614000,0.278000,-0.654000,0.344000
1.466403,0.600000,0.317000,-0.618000,0.397000
1.549604,0.578000,0.360000,-0.586000,0.439000
1.582977,0.564000,0.412000,-0.547000,0.461000
1.733261,0.566000,0.451000,-0.518000,0.456000
1.766366,0.578000,0.475000,-0.506000,0.429000
1.849687,0.586000,0.492000,-0.497000,0.409000
1.932635,0.587000,0.512000,-0.496000,0.384000
2.066454,0.587000,0.530000,-0.498000,0.356000
2.100126,0.587000,0.539000,-0.500000,0.339000
2.317004,0.587000,0.541000,-0.499000,0.338000
2.432930,0.606000,0.573000,-0.471000,0.288000
2.433806,0.630000,0.614000,-0.403000,0.252000
2.567226,0.643000,0.618000,-0.382000,0.240000
2.600263,0.663000,0.633000,-0.343000,0.205000
2.601214,0.684000,0.661000,-0.275000,0.139000
2.750763,0.703000,0.658000,-0.246000,0.112000
2.784198,0.704000,0.573000,-0.414000,-0.066000
2.784805,0.702000,0.565000,-0.431000,-0.037000
2.934181,0.703000,0.536000,-0.466000,0.021000
2.967407,0.697000,0.486000,-0.516000,0.104000
3.051098,0.680000,0.436000,-0.557000,0.192000
3.101873,0.658000,0.383000,-0.595000,0.259000
3.134105,0.628000,0.312000,-0.638000,0.317000
3.217592,0.606000,0.268000,-0.655000,0.363000
3.268408,0.587000,0.262000,-0.665000,0.380000
3.351708,0.601000,0.285000,-0.630000,0.401000
3.384740,0.592000,0.292000,-0.638000,0.396000
3.467790,0.609000,0.324000,-0.616000,0.380000
3.518565,0.624000,0.348000,-0.601000,0.357000
3.575416,0.640000,0.368000,-0.591000,0.325000
3.768513,0.648000,0.395000,-0.584000,0.288000
3.769066,0.648000,0.426000,-0.589000,0.227000
3.801933,0.646000,0.431000,-0.594000,0.208000
3.802819,0.647000,0.438000,-0.594000,0.190000
3.952168,0.647000,0.447000,-0.594000,0.169000
4.118692,0.653000,0.460000,-0.587000,0.131000
4.177320,0.665000,0.510000,-0.539000,0.085000
4.235262,0.671000,0.521000,-0.526000,0.037000
4.285902,0.674000,0.544000,-0.499000,-0.021000
4.369227,0.675000,0.593000,-0.430000,-0.089000
4.536385,0.694000,0.597000,-0.388000,-0.104000
4.594647,0.704000,0.488000,-0.516000,-0.007000
4.652349,0.706000,0.407000,-0.576000,0.065000
4.702521,0.685000,0.340000,-0.625000,0.156000
4.786556,0.662000,0.267000,-0.660000,0.235000
4.819385,0.632000,0.219000,-0.683000,0.292000
4.952880,0.632000,0.230000,-0.674000,0.304000
5.009799,0.647000,0.230000,-0.661000,0.303000
5.152357,0.659000,0.286000,-0.628000,0.299000
5.219326,0.680000,0.345000,-0.602000,0.238000
5.252814,0.681000,0.374000,-0.594000,0.207000
5.304468,0.679000,0.390000,-0.594000,0.185000
5.386624,0.673000,0.395000,-0.601000,0.172000
5.420438,0.669000,0.402000,-0.602000,0.165000
5.503530,0.666000,0.415000,-0.602000,0.147000
5.554592,0.663000,0.427000,-0.601000,0.128000
5.669780,0.663000,0.442000,-0.595000,0.104000
5.720395,0.665000,0.468000,-0.577000,0.072000
5.804091,0.672000,0.527000,-0.519000,0.018000
5.837170,0.666000,0.550000,-0.501000,-0.054000
5.970956,0.667000,0.622000,-0.396000,-0.111000
6.137455,0.694000,0.583000,-0.399000,-0.139000
6.221143,0.708000,0.491000,-0.504000,-0.060000
6.278834,0.702000,0.337000,-0.622000,0.084000
6.337835,0.691000,0.258000,-0.659000,0.148000
6.463172,0.664000,0.184000,-0.695000,0.207000
6.521294,0.658000,0.185000,-0.691000,0.236000
6.572022,0.674000,0.211000,-0.660000,0.257000
6.629239,0.662000,0.197000,-0.683000,0.239000
6.770928,0.674000,0.233000,-0.659000,0.240000
6.854294,0.697000,0.318000,-0.621000,0.167000
6.937766,0.691000,0.359000,-0.617000,0.113000
7.045794,0.684000,0.361000,-0.628000,0.085000
7.072160,0.675000,0.361000,-0.639000,0.071000
7.238273,0.668000,0.353000,-0.652000,0.062000
7.238785,0.666000,0.347000,-0.659000,0.039000
7.354929,0.666000,0.342000,-0.662000,0.029000
7.405145,0.667000,0.344000,-0.661000,0.015000
7.488850,0.667000,0.326000,-0.670000,-0.010000
7.522046,0.666000,0.293000,-0.680000,-0.093000
7.605312,0.686000,0.263000,-0.645000,-0.209000
7.655646,0.666000,0.182000,-0.659000,-0.297000
7.772249,0.639000,0.133000,-0.665000,-0.363000
7.906152,0.614000,0.067000,-0.645000,-0.451000
7.938382,0.588000,0.028000,-0.631000,-0.505000
8.022560,0.535000,-0.019000,-0.628000,-0.566000
8.072877,0.493000,-0.054000,-0.628000,-0.600000
8.130836,0.468000,-0.079000,-0.627000,-0.618000
8.189830,0.455000,-0.106000,-0.631000,-0.619000
8.272853,0.451000,-0.124000,-0.626000,-0.624000
8.323149,0.437000,-0.161000,-0.620000,-0.631000
8.356268,0.426000,-0.191000,-0.614000,-0.637000
8.489719,0.418000,-0.215000,-0.607000,-0.641000
8.606481,0.454000,-0.257000,-0.585000,-0.621000
8.606764,0.437000,-0.263000,-0.585000,-0.630000
8.740142,0.435000,-0.266000,-0.582000,-0.633000
8.856463,0.428000,-0.271000,-0.580000,-0.638000
8.907008,0.413000,-0.282000,-0.583000,-0.640000
8.965040,0.406000,-0.285000,-0.584000,-0.642000
9.023558,0.398000,-0.289000,-0.588000,-0.643000
9.107085,0.382000,-0.289000,-0.592000,-0.648000
9.215302,0.373000,-0.287000,-0.596000,-0.651000
9.273562,0.340000,-0.280000,-0.612000,-0.657000
9.324310,0.318000,-0.278000,-0.622000,-0.660000
9.440491,0.299000,-0.279000,-0.628000,-0.662000
9.523895,0.268000,-0.301000,-0.632000,-0.662000
9.574508,0.265000,-0.317000,-0.631000,-0.657000
9.632792,0.264000,-0.335000,-0.625000,-0.654000
9.774068,0.246000,-0.346000,-0.626000,-0.654000
9.857435,0.228000,-0.349000,-0.628000,-0.658000
10.049615,0.230000,-0.358000,-0.622000,-0.657000
10.108046,0.236000,-0.359000,-0.612000,-0.665000
10.191361,0.222000,-0.334000,-0.628000,-0.667000
10.241572,0.214000,-0.310000,-0.639000,-0.670000
10.408214,0.184000,-0.310000,-0.626000,-0.691000
10.408769,0.159000,-0.334000,-0.597000,-0.712000
10.491754,0.114000,-0.391000,-0.510000,-0.758000
10.525623,0.088000,-0.433000,-0.449000,-0.777000
10.658524,0.064000,-0.475000,-0.388000,-0.787000
10.716930,0.053000,-0.500000,-0.352000,-0.789000
10.775190,0.041000,-0.526000,-0.320000,-0.787000
10.825836,0.063000,-0.523000,-0.307000,-0.792000
10.908764,0.075000,-0.520000,-0.315000,-0.791000
10.942457,0.083000,-0.509000,-0.333000,-0.789000
11.025687,0.092000,-0.504000,-0.340000,-0.788000
11.134359,0.101000,-0.502000,-0.346000,-0.786000
11.191809,0.090000,-0.489000,-0.367000,-0.786000
11.192974,0.081000,-0.485000,-0.377000,-0.785000
11.326191,0.075000,-0.487000,-0.380000,-0.783000
11.442605,0.070000,-0.488000,-0.384000,-0.781000
11.492678,0.060000,-0.480000,-0.394000,-0.781000
11.550933,0.058000,-0.475000,-0.398000,-0.783000
11.609472,0.056000,-0.473000,-0.400000,-0.783000
11.692634,0.050000,-0.476000,-0.402000,-0.780000
11.717323,0.038000,-0.475000,-0.415000,-0.775000
11.776151,0.017000,-0.475000,-0.429000,-0.768000
11.860424,-0.001000,-0.476000,-0.437000,-0.764000
11.910060,-0.028000,-0.490000,-0.443000,-0.750000
12.109680,-0.031000,-0.513000,-0.437000,-0.739000
12.160261,0.001000,-0.532000,-0.414000,-0.739000
12.193691,0.018000,-0.537000,-0.401000,-0.742000
12.276719,0.025000,-0.536000,-0.398000,-0.744000
12.278114,0.023000,-0.533000,-0.398000,-0.746000
12.401767,0.016000,-0.523000,-0.412000,-0.746000
12.460729,0.018000,-0.525000,-0.410000,-0.746000
12.567794,0.009000,-0.517000,-0.419000,-0.746000
12.627372,-0.014000,-0.520000,-0.387000,-0.762000
12.710554,-0.024000,-0.525000,-0.356000,-0.773000
12.810550,-0.027000,-0.531000,-0.322000,-0.783000
12.860616,-0.023000,-0.543000,-0.255000,-0.799000
12.944655,-0.025000,-0.558000,-0.203000,-0.804000
12.977302,-0.024000,-0.570000,-0.160000,-0.806000
13.127772,-0.019000,-0.582000,-0.123000,-0.803000
13.160330,0.003000,-0.583000,-0.107000,-0.805000
13.244327,0.025000,-0.568000,-0.132000,-0.812000
13.294656,0.051000,-0.548000,-0.167000,-0.818000
13.410974,0.057000,-0.537000,-0.215000,-0.814000
13.411750,0.040000,-0.534000,-0.243000,-0.809000
13.570527,0.021000,-0.534000,-0.267000,-0.802000
13.669428,-0.013000,-0.538000,-0.299000,-0.788000
13.778432,-0.043000,-0.546000,-0.327000,-0.770000
13.838451,-0.062000,-0.564000,-0.338000,-0.751000
13.894747,-0.071000,-0.571000,-0.344000,-0.742000
13.945587,-0.081000,-0.578000,-0.348000,-0.734000
13.978843,-0.097000,-0.588000,-0.353000,-0.721000
14.078736,-0.109000,-0.593000,-0.356000,-0.714000
14.128701,-0.129000,-0.595000,-0.361000,-0.706000
14.187527,-0.139000,-0.596000,-0.365000,-0.702000
14.245591,-0.159000,-0.590000,-0.376000,-0.697000
14.328877,-0.182000,-0.580000,-0.394000,-0.689000
14.378837,-0.224000,-0.570000,-0.426000,-0.666000
14.411983,-0.259000,-0.532000,-0.480000,-0.647000
14.415591,-0.286000,-0.485000,-0.518000,-0.643000
14.562476,-0.318000,-0.484000,-0.479000,-0.661000
14.595951,-0.311000,-0.498000,-0.441000,-0.679000
14.679055,-0.287000,-0.517000,-0.405000,-0.697000
14.729232,-0.246000,-0.549000,-0.330000,-0.727000
14.846140,-0.191000,-0.576000,-0.287000,-0.741000
14.929214,-0.059000,-0.632000,-0.146000,-0.759000
14.979612,-0.009000,-0.646000,-0.102000,-0.757000
15.012731,0.036000,-0.659000,-0.078000,-0.748000
15.146796,0.069000,-0.643000,-0.114000,-0.754000
15.204997,0.064000,-0.600000,-0.207000,-0.770000
15.262669,0.039000,-0.577000,-0.255000,-0.775000
15.346483,0.001000,-0.576000,-0.286000,-0.766000
15.430404,-0.025000,-0.578000,-0.306000,-0.756000
15.512757,-0.061000,-0.575000,-0.339000,-0.742000
15.513931,-0.072000,-0.579000,-0.349000,-0.734000
15.637859,-0.079000,-0.585000,-0.350000,-0.728000
15.696983,-0.091000,-0.592000,-0.351000,-0.720000
15.747402,-0.097000,-0.591000,-0.354000,-0.718000
15.830498,-0.105000,-0.592000,-0.356000,-0.716000
15.946901,-0.129000,-0.581000,-0.372000,-0.712000
15.997298,-0.156000,-0.566000,-0.388000,-0.711000
16.056160,-0.189000,-0.562000,-0.393000,-0.703000
16.113660,-0.243000,-0.545000,-0.420000,-0.684000
16.164123,-0.295000,-0.503000,-0.456000,-0.672000
16.247630,-0.322000,-0.484000,-0.449000,-0.679000
16.280380,-0.330000,-0.503000,-0.431000,-0.673000
16.364342,-0.320000,-0.536000,-0.382000,-0.681000
16.414615,-0.278000,-0.578000,-0.321000,-0.697000
16.473271,-0.234000,-0.613000,-0.230000,-0.719000
16.530705,-0.173000,-0.640000,-0.153000,-0.733000
16.581192,-0.107000,-0.651000,-0.095000,-0.746000
16.664949,-0.053000,-0.653000,-0.051000,-0.754000
16.698220,-0.012000,-0.649000,-0.047000,-0.759000
16.781188,0.007000,-0.636000,-0.074000,-0.768000
16.805686,0.009000,-0.617000,-0.093000,-0.781000
16.889986,0.008000,-0.612000,-0.102000,-0.784000
16.948236,-0.015000,-0.597000,-0.159000,-0.786000
17.031486,-0.047000,-0.596000,-0.194000,-0.778000
17.197652,-0.072000,-0.596000,-0.226000,-0.767000
17.198361,-0.115000,-0.621000,-0.266000,-0.728000
17.464637,-0.124000,-0.631000,-0.273000,-0.716000
17.565319,-0.153000,-0.661000,-0.279000,-0.680000
17.615634,-0.179000,-0.665000,-0.290000,-0.664000
17.675420,-0.201000,-0.658000,-0.315000,-0.654000
17.732237,-0.212000,-0.659000,-0.317000,-0.648000
17.782409,-0.237000,-0.656000,-0.328000,-0.637000
17.865976,-0.253000,-0.648000,-0.348000,-0.628000
17.899027,-0.278000,-0.623000,-0.414000,-0.602000
17.982403,-0.288000,-0.579000,-0.475000,-0.597000
18.090429,-0.347000,-0.586000,-0.446000,-0.580000
18.149243,-0.353000,-0.581000,-0.368000,-0.635000
18.249671,-0.311000,-0.587000,-0.299000,-0.685000
18.299911,-0.271000,-0.591000,-0.247000,-0.718000
18.332599,-0.192000,-0.599000,-0.207000,-0.749000
18.333604,-0.140000,-0.600000,-0.191000,-0.764000
18.532995,-0.097000,-0.602000,-0.180000,-0.772000
18.599572,-0.049000,-0.602000,-0.188000,-0.775000
18.633050,-0.034000,-0.593000,-0.197000,-0.780000
18.799811,-0.022000,-0.586000,-0.211000,-0.782000
18.800184,-0.028000,-0.572000,-0.243000,-0.783000
18.883582,-0.050000,-0.567000,-0.266000,-0.778000
18.991656,-0.065000,-0.578000,-0.281000,-0.764000
19.050120,-0.070000,-0.590000,-0.283000,-0.753000
19.100380,-0.070000,-0.595000,-0.287000,-0.747000
19.184075,-0.066000,-0.599000,-0.290000,-0.744000
19.216803,-0.064000,-0.603000,-0.291000,-0.740000
19.300481,-0.060000,-0.607000,-0.286000,-0.739000
19.350539,-0.057000,-0.610000,-0.283000,-0.738000
19.408498,-0.056000,-0.609000,-0.284000,-0.738000
19.467090,-0.058000,-0.608000,-0.287000,-0.738000
19.550704,-0.060000,-0.606000,-0.289000,-0.739000
19.634587,-0.058000,-0.602000,-0.289000,-0.742000
19.784388,-0.057000,-0.599000,-0.289000,-0.745000
19.817510,-0.059000,-0.588000,-0.293000,-0.751000
19.900783,-0.063000,-0.577000,-0.301000,-0.757000
19.951110,-0.067000,-0.570000,-0.304000,-0.760000
20.067868,-0.068000,-0.552000,-0.322000,-0.766000
20.151390,-0.107000,-0.526000,-0.312000,-0.784000
20.201528,-0.137000,-0.500000,-0.323000,-0.792000
20.235060,-0.181000,-0.475000,-0.322000,-0.799000
20.317931,-0.219000,-0.453000,-0.318000,-0.803000
20.369232,-0.281000,-0.395000,-0.325000,-0.812000
20.451438,-0.319000,-0.356000,-0.329000,-0.815000
20.485135,-0.357000,-0.322000,-0.332000,-0.812000
20.535244,-0.395000,-0.284000,-0.347000,-0.802000
20.676370,-0.436000,-0.246000,-0.367000,-0.784000
20.735254,-0.456000,-0.224000,-0.397000,-0.764000
20.785330,-0.485000,-0.203000,-0.410000,-0.746000
20.869140,-0.513000,-0.186000,-0.414000,-0.729000
20.985486,-0.531000,-0.176000,-0.416000,-0.717000
21.035480,-0.532000,-0.174000,-0.419000,-0.715000
21.092106,-0.527000,-0.177000,-0.419000,-0.718000
21.202894,-0.519000,-0.178000,-0.423000,-0.721000
21.402166,-0.516000,-0.170000,-0.420000,-0.727000
21.453117,-0.516000,-0.166000,-0.418000,-0.729000
21.509893,-0.517000,-0.166000,-0.418000,-0.728000
21.569524,-0.517000,-0.166000,-0.419000,-0.728000
21.652241,-0.521000,-0.170000,-0.420000,-0.723000
21.703442,-0.520000,-0.172000,-0.420000,-0.723000
21.761081,-0.520000,-0.174000,-0.422000,-0.722000
21.819676,-0.518000,-0.175000,-0.423000,-0.722000
21.886861,-0.517000,-0.177000,-0.423000,-0.723000
21.943505,-0.514000,-0.179000,-0.429000,-0.721000
22.019784,-0.512000,-0.180000,-0.429000,-0.722000
