Master Time (s),A0C0,A0C1,A0C2,A1C0,A1C1,A1C2,A1C3,A2C0,A2C1,A2C2,A2C3,estimated_weight
0.025980,1.227273,0.272727,0.340000,1.399091,0.272727,0.272727,0.318182,0.136364,0.148182,4.443636,0.148182,2.469250
0.030743,1.363636,0.249091,0.296364,1.262727,0.272727,0.272727,0.569091,0.148182,0.136364,1.647273,0.159091,1.753750
0.087205,1.227273,0.272727,0.340000,3.171818,0.272727,0.296364,0.296364,0.148182,0.136364,1.636364,0.159091,2.188250
0.091408,1.112727,0.249091,0.340000,2.964545,0.249091,0.296364,0.296364,0.148182,0.148182,6.352728,0.148182,3.384000
0.095635,1.023636,0.249091,0.272727,2.421818,0.227273,0.296364,0.296364,0.136364,0.136364,9.704545,0.204545,4.116500
0.204167,1.203636,0.272727,0.296364,3.136364,0.272727,0.296364,0.296364,0.136364,0.148182,16.704546,0.420909,6.375750
0.208952,1.023636,0.249091,0.296364,4.123636,0.272727,0.272727,0.272727,0.124545,0.136364,39.340908,2.193636,13.284249
0.213468,0.954545,0.249091,0.296364,4.159091,0.272727,0.296364,0.296364,0.148182,0.136364,79.488182,33.874546,33.047249
0.272830,0.796364,0.249091,0.296364,4.058182,0.272727,0.296364,0.272727,0.136364,0.136364,139.601822,73.647270,60.434998
0.273080,0.703636,0.249091,0.296364,3.649091,0.272727,0.272727,0.272727,0.124545,2.874546,167.101822,76.204544,69.306000
0.399609,0.772727,0.249091,0.590909,2.727273,0.249091,0.272727,0.387273,0.136364,42.806362,172.942719,88.851822,85.246254
0.399684,0.636364,0.249091,0.523636,2.694546,0.249091,0.272727,16.090910,0.148182,59.590912,166.988190,77.750000,89.428246
0.445074,1.590909,0.454545,0.476364,3.272727,0.272727,0.841818,26.978182,0.136364,62.545456,145.693649,62.669998,83.856506
0.462338,1.976364,22.387274,0.476364,3.100909,0.500000,6.158182,36.841820,0.148182,62.215450,122.034554,37.522728,80.674500
0.463380,3.023636,43.590908,0.272727,3.921818,6.158182,14.136364,44.112728,0.136364,49.874546,98.749992,14.431818,76.562500
0.567248,5.409091,55.703632,0.454545,6.169091,15.023637,24.818182,46.227272,0.148182,33.386364,68.398186,3.272727,71.227997
0.571705,9.430909,67.341827,0.703636,8.146363,26.523636,30.569092,49.794544,0.136364,21.431818,39.442730,0.250000,69.786995
0.576353,12.160000,72.976364,0.887273,15.646363,39.409088,36.772728,50.978184,0.148182,8.215455,17.898182,0.159091,70.194000
0.624112,20.069092,83.454544,1.567273,27.477274,46.272728,41.090912,46.454544,6.500000,0.966364,6.260909,0.170000,77.077995
0.628507,25.385456,83.205460,6.887273,38.626362,53.227276,43.818180,39.023636,1.647273,0.136364,5.102727,0.159091,81.735245
0.748154,32.887272,78.023636,11.272728,50.045460,59.840004,53.500004,27.954546,0.363636,0.136364,4.943636,0.159091,87.759743
0.816345,41.478180,78.954544,14.272728,58.772728,61.703640,57.067280,13.318183,0.136364,0.136364,3.886364,0.193636,90.727997
0.873920,43.614548,79.181816,15.523637,68.318184,64.681816,60.658184,3.090909,0.136364,0.148182,4.738182,0.159091,93.569000
0.984622,47.500000,74.000000,20.387274,73.159088,63.660000,62.341820,2.114545,0.148182,0.148182,4.489091,0.159091,95.729507
1.048494,53.681820,66.840004,21.500000,76.126366,70.203636,65.181816,3.000000,0.590909,0.136364,4.227273,0.170000,99.455994
1.053069,56.454544,57.136364,25.909090,92.522728,72.454544,65.500000,3.954545,0.829091,0.136364,3.727273,0.204545,104.178001
1.073565,55.296364,39.363636,25.750908,95.318192,74.612724,69.727272,3.840000,0.284545,0.136364,2.727273,0.215455,101.000000
1.224178,55.930908,22.885456,28.227272,101.181808,77.863640,72.863640,4.136364,0.148182,0.136364,1.829091,0.148182,100.471481
1.228504,61.500004,11.590909,29.249092,110.522728,83.023628,69.318184,4.250909,0.148182,0.148182,1.340909,0.159091,102.094246
1.233538,60.523636,5.794546,26.341818,120.681816,76.023636,73.478188,6.660000,0.136364,0.136364,1.398182,0.181818,102.122986
1.238062,54.841820,5.318182,25.272728,109.499992,63.841824,63.160004,5.818182,0.148182,0.136364,0.648182,0.159091,90.432243
1.285474,34.272728,6.590909,25.454546,91.058189,20.181820,11.205455,9.136364,0.148182,0.148182,0.533636,0.159091,54.694504
1.346863,4.045455,6.500000,3.227273,67.500000,14.021817,1.727273,11.000000,0.250000,0.136364,0.659091,0.159091,30.037251
1.404955,6.296364,5.569091,1.932727,13.467273,11.000000,1.203636,7.227273,0.148182,0.148182,0.942727,0.159091,13.226000
1.409223,4.818182,0.454545,1.158182,15.204547,2.772727,0.272727,2.045455,0.148182,0.136364,1.693636,0.148182,7.934500
1.413784,1.363636,0.249091,0.318182,10.600909,0.272727,0.296364,0.614545,0.148182,0.136364,2.874546,0.159091,4.684250
1.533369,0.569091,0.272727,0.296364,3.100909,0.272727,0.296364,0.681818,0.136364,0.148182,3.351818,0.159091,2.553500
1.533612,0.749091,0.272727,0.340000,1.805454,0.272727,0.296364,0.727273,0.170000,0.148182,3.489091,0.159091,2.318250
1.543013,0.749091,0.249091,0.296364,2.080909,0.272727,0.296364,0.590909,0.136364,0.148182,3.590909,0.181818,2.363000
1.543296,0.636364,0.249091,0.318182,2.080909,0.296364,0.296364,0.636364,0.136364,0.148182,3.840909,0.170000,2.422500
1.600512,0.703636,0.249091,0.296364,1.805454,0.272727,0.296364,0.590909,0.148182,0.148182,3.738182,0.170000,2.315250
1.600595,0.727273,0.249091,0.318182,1.636364,0.272727,0.296364,0.681818,0.148182,0.148182,3.897273,0.181818,2.353250
1.718150,0.772727,0.249091,0.272727,2.149091,0.272727,0.272727,0.727273,0.148182,0.148182,3.931818,0.159091,2.503500
1.718227,0.909091,0.249091,0.272727,3.000000,0.249091,0.296364,0.703636,0.148182,0.148182,4.204545,0.170000,2.846500
1.718332,1.000000,0.272727,0.363636,2.113636,0.272727,0.272727,0.749091,0.148182,0.136364,4.136364,0.159091,2.646750
1.719484,0.954545,0.249091,0.569091,2.350909,0.249091,0.272727,0.772727,0.227273,0.148182,4.215455,0.159091,2.796250
1.766672,0.954545,0.272727,0.272727,1.840909,0.272727,0.296364,0.545455,0.136364,0.148182,4.397273,0.159091,2.556500
1.771273,0.887273,0.249091,0.272727,3.000000,0.272727,0.272727,0.703636,0.136364,0.148182,4.477273,0.148182,2.906250
1.889349,1.272727,0.249091,0.296364,2.590909,0.272727,0.296364,0.636364,0.136364,0.136364,4.545455,0.148182,2.909750
1.890597,1.090909,0.272727,0.340000,1.295454,0.272727,0.296364,0.614545,0.148182,0.148182,4.613636,0.159091,2.544250
1.895034,1.045455,0.249091,0.363636,1.467273,0.272727,0.296364,0.703636,0.148182,0.148182,4.545455,0.148182,2.581750
1.900029,1.000000,0.249091,0.296364,2.012727,0.249091,0.296364,0.476364,0.148182,0.136364,4.511818,0.148182,2.619250
1.950041,1.023636,0.272727,0.340000,2.318182,0.272727,0.318182,0.636364,0.159091,0.148182,3.307273,0.148182,2.459750
1.959278,0.954545,0.249091,0.340000,1.262727,0.272727,0.296364,0.727273,0.136364,0.159091,0.840909,0.159091,1.484500
2.011660,0.569091,0.249091,0.272727,1.159091,0.272727,0.296364,0.387273,0.159091,0.136364,2.727273,0.159091,1.756750
2.012059,0.932727,0.249091,0.545455,2.487273,0.272727,0.296364,0.296364,0.148182,0.148182,9.352728,0.159091,4.094251
2.019000,0.932727,0.272727,0.569091,2.522727,0.249091,0.272727,0.296364,0.148182,0.136364,13.727272,0.295455,5.341250
2.028926,0.727273,0.249091,0.430909,2.012727,0.296364,0.296364,0.296364,0.136364,0.136364,47.681824,1.988182,14.919251
2.029117,0.978182,0.249091,0.430909,2.863636,0.249091,0.296364,0.296364,0.148182,0.136364,158.909103,15.113638,49.409500
2.029772,0.932727,0.249091,0.409091,2.113636,0.272727,0.318182,0.318182,0.136364,8.409091,199.886368,65.124542,76.496742
2.034264,1.112727,0.272727,0.296364,2.487273,0.272727,0.296364,2.296364,0.136364,22.216364,198.442719,60.272728,79.228249
2.039145,1.409091,0.249091,0.318182,2.250000,0.272727,0.296364,11.523637,0.136364,31.556364,178.749985,42.340908,74.003250
2.134988,1.681818,3.794545,0.296364,2.045455,0.272727,3.863636,17.863638,0.148182,37.010910,155.465454,39.909092,72.146751
2.135062,2.023636,20.090910,0.296364,3.204545,1.296364,11.727273,23.727274,0.136364,32.989090,130.045456,15.977273,66.416504
2.136327,2.749091,31.772728,0.296364,4.295455,6.385455,17.227274,28.909090,0.136364,25.830002,98.488182,6.954545,61.337250
2.202576,5.887273,42.203636,0.523636,5.454545,16.567272,28.181818,34.840000,0.136364,16.466366,63.272724,0.772727,58.934254
2.245299,7.818182,56.021820,0.703636,8.967273,30.067272,37.272728,34.387272,0.170000,7.500000,28.681818,0.261818,58.259254
2.249750,9.521818,68.794540,0.703636,16.055454,44.205456,46.727272,35.227272,0.136364,0.716364,8.851818,0.159091,63.552250
2.308495,12.318182,74.681816,1.296364,24.850908,52.340000,52.272728,33.363640,0.136364,0.148182,4.489091,0.159091,70.415504
2.313040,15.569091,83.727272,1.567273,31.363638,60.478184,58.750916,27.205454,0.148182,0.148182,4.204545,0.159091,77.913506
2.368479,18.749092,87.909096,1.158182,37.772728,70.614540,66.567276,19.545456,0.136364,0.148182,4.102727,0.170000,84.390244
2.428075,18.749092,92.500000,2.090909,37.191818,76.841820,67.500000,10.385454,0.148182,0.148182,3.602727,0.159091,85.062256
2.431874,21.000000,94.136375,2.658182,43.737274,82.227272,72.863640,2.887273,0.148182,0.136364,4.431818,0.159091,89.206001
2.436831,22.750908,87.339996,2.658182,44.659088,86.136360,81.545456,2.523637,0.215455,0.136364,4.181818,0.159091,91.384247
2.488165,25.114544,79.249092,3.590909,47.931816,95.885452,88.136368,3.318182,0.477273,0.136364,3.068182,0.170000,95.446495
2.548105,27.318182,57.590908,5.430909,51.441822,98.749100,96.181816,4.318182,0.295455,0.148182,2.136364,0.159091,94.536751
2.606221,29.772726,29.341818,7.409091,60.308182,106.794540,100.432732,4.681818,0.148182,0.148182,1.216364,0.159091,93.613503
2.618690,34.636364,8.021818,9.749091,64.669090,111.363640,102.387276,6.727273,0.148182,0.148182,0.636364,0.170000,93.130753
2.618899,25.794546,5.272727,9.727272,60.136368,63.430912,74.954552,7.409091,0.148182,0.136364,0.704545,0.148182,68.162254
2.678380,5.658182,10.840000,4.727273,49.909092,14.772727,2.818182,11.409090,0.148182,0.136364,0.522727,0.159091,27.802750
2.678513,5.318182,9.749091,2.045455,10.600909,15.636364,1.158182,9.158182,0.170000,0.136364,0.886364,0.148182,15.127002
2.798455,3.409091,1.227273,1.181818,11.012728,5.454545,0.340000,2.636364,0.148182,0.136364,1.556364,0.181818,7.503250
2.798662,0.318182,0.249091,0.272727,5.487273,0.272727,0.296364,0.430909,0.295455,0.227273,3.261818,0.148182,3.096500
2.798798,0.296364,0.249091,0.272727,2.659091,0.272727,0.296364,0.523636,0.351818,0.124545,2.977273,0.159091,2.250250
2.847738,0.296364,0.249091,0.272727,2.863636,0.249091,0.296364,0.545455,0.148182,0.136364,3.102727,0.159091,2.287750
2.849202,0.500000,0.249091,0.272727,3.035455,0.272727,0.296364,0.636364,0.148182,0.136364,3.022727,0.148182,2.397500
2.920755,0.318182,0.249091,0.296364,1.431818,0.272727,0.296364,0.476364,0.148182,0.148182,3.159091,0.159091,1.912750
2.978695,0.500000,0.249091,0.272727,1.873636,0.272727,0.318182,0.523636,0.159091,0.148182,3.102727,0.159091,2.084250
2.978816,0.590909,0.249091,0.272727,2.727273,0.272727,0.296364,0.658182,0.181818,0.148182,3.409091,0.148182,2.462500
2.979069,0.614545,0.272727,0.272727,1.467273,0.272727,0.296364,0.658182,0.181818,0.148182,3.579091,0.159091,2.178750
3.027886,0.614545,0.249091,0.296364,1.840909,0.272727,0.296364,0.569091,0.136364,0.148182,3.659091,0.148182,2.263500
3.148096,0.636364,0.249091,0.318182,1.737273,0.249091,0.296364,0.727273,0.148182,0.148182,3.727273,0.159091,2.309000
3.206833,0.658182,0.249091,0.296364,1.737273,0.272727,0.272727,0.545455,0.272727,0.136364,3.830000,0.159091,2.318250
3.268719,0.909091,0.249091,0.318182,1.840909,0.249091,0.296364,0.500000,0.522727,0.136364,3.874545,0.159091,2.490250
3.326659,0.614545,0.249091,0.296364,2.250000,0.272727,0.272727,0.681818,0.477273,0.148182,3.863636,0.159091,2.553500
3.329858,0.523636,0.272727,0.272727,2.285455,0.296364,0.296364,0.772727,0.204545,0.148182,3.772727,0.159091,2.476250
3.334478,0.749091,0.249091,0.296364,1.399091,0.249091,0.296364,0.909091,0.318182,0.148182,3.772727,0.159091,2.350250
3.339418,0.772727,0.249091,0.296364,1.363636,0.272727,0.296364,0.954545,0.318182,0.136364,3.863636,0.159091,2.387750
3.344209,0.932727,0.249091,0.296364,2.045455,0.272727,0.296364,0.863636,0.420909,0.148182,3.897273,0.170000,2.638000
3.387494,0.887273,0.227273,0.318182,2.899091,0.272727,0.272727,0.863636,0.181818,0.148182,3.897273,0.148182,2.782000
3.391983,0.796364,0.249091,0.318182,2.931818,0.272727,0.272727,1.045455,0.148182,0.148182,1.409091,0.148182,2.128500
3.504890,0.796364,0.249091,0.272727,1.704545,0.272727,0.296364,0.636364,0.148182,0.148182,3.000000,0.148182,2.110000
3.518045,1.636364,0.272727,0.430909,2.421818,0.272727,0.296364,0.296364,0.136364,0.148182,6.000000,0.170000,3.322500
3.518179,1.818182,0.272727,0.387273,2.795455,0.249091,0.296364,0.296364,0.148182,0.136364,11.318182,0.215455,4.931750
3.518338,1.727273,0.249091,0.523636,2.590909,0.272727,0.296364,0.296364,0.136364,0.148182,27.136364,0.909091,9.428749
3.565796,1.681818,0.249091,0.569091,2.318182,0.249091,0.272727,0.296364,0.136364,0.148182,96.170914,37.829090,38.478249
3.625158,2.067273,0.227273,0.296364,2.113636,0.272727,0.296364,0.272727,0.136364,3.068182,178.329102,67.716370,70.069000
3.686150,2.158182,0.272727,0.272727,2.590909,0.272727,0.272727,13.703636,0.136364,0.148182,182.875458,52.442730,70.165245
3.703876,2.205454,0.249091,0.272727,3.272727,0.272727,0.932727,20.840000,0.136364,40.068184,171.613632,54.170910,80.859497
3.703949,2.567273,9.887273,0.272727,3.136364,0.727273,7.863636,28.478182,0.136364,40.340912,144.113647,22.613638,71.537750
3.704435,2.863636,21.205456,0.476364,3.204545,4.636364,15.612727,32.000000,0.136364,34.613636,119.500000,16.068182,68.837250
3.748621,3.727273,31.136366,0.318182,4.090909,11.385454,21.363636,33.454548,0.136364,24.750002,88.442734,6.716364,62.018497
3.807584,5.772727,41.954544,0.409091,5.010000,23.160002,26.409090,37.363640,0.148182,11.124546,52.920910,0.874545,56.415497
3.812391,6.932727,47.863636,0.500000,6.068182,33.114544,34.363636,38.387272,3.909091,6.989091,26.568184,0.215455,56.350742
3.817021,7.181818,56.318180,0.590909,10.159091,44.136368,41.385456,38.681816,4.659091,1.170909,9.772728,0.159091,58.909248
3.871401,9.794545,61.318180,0.727273,16.227272,52.430916,51.341820,35.636364,5.851819,0.466364,5.340909,0.148182,65.803001
3.930947,9.681818,67.205460,0.863636,18.850908,62.114548,57.749096,34.681820,3.318182,0.148182,4.170909,0.170000,71.212502
3.987627,10.863636,71.363640,0.887273,23.353636,68.614548,62.521824,31.136366,0.193636,0.148182,3.874545,0.170000,75.109993
4.005349,11.272728,71.545456,0.887273,24.103636,71.181816,65.794548,24.069092,0.215455,0.148182,3.659091,0.159091,75.084999
4.005845,12.590909,76.409088,0.863636,29.149092,75.432732,70.841820,17.294544,0.136364,0.148182,3.545455,0.159091,78.806999
