Master Time (s),A0C0,A0C1,A0C2,A1C0,A1C1,A1C2,A1C3,A2C0,A2C1,A2C2,A2C3,estimated_weight
4.048286,12.545455,76.339996,1.023636,32.318184,79.430908,75.612732,7.090909,0.136364,0.136364,4.409091,0.148182,79.527756
4.066387,13.250910,81.885452,1.500000,37.431820,87.112724,80.385452,3.430909,0.238182,0.136364,4.409091,0.159091,85.233498
4.165800,16.021818,79.454552,2.000000,42.954544,93.841812,87.567276,3.523636,0.307273,0.136364,5.022727,0.148182,91.018990
4.170308,18.772728,74.069092,3.205455,37.500004,97.203636,89.387268,4.930909,0.238182,0.136364,3.431818,0.148182,90.481499
4.174811,20.727274,52.750908,4.523636,48.545456,103.521812,94.772728,5.045455,0.148182,0.148182,2.500000,0.148182,91.528748
4.228525,24.705454,28.772728,4.976364,50.285454,102.045448,97.636368,7.000000,0.136364,0.148182,1.136364,0.159091,87.175499
4.348501,30.590908,9.430909,6.476364,48.376366,99.954536,84.978188,9.978182,0.170000,0.136364,0.409091,0.159091,79.931488
4.348750,31.841818,10.250909,6.681818,43.431816,60.909096,19.703636,11.500000,0.148182,0.136364,0.250000,0.159091,50.878502
4.353026,8.569091,13.636364,1.772727,28.600908,15.341819,1.067273,13.385454,0.136364,0.148182,0.466364,0.159091,22.903002
4.358013,6.863636,5.932727,2.363636,12.237272,9.296364,0.296364,4.636364,0.204545,0.148182,1.102727,0.159091,11.891249
4.406810,2.705455,0.249091,0.454545,4.840909,0.296364,0.272727,0.476364,0.250000,0.148182,2.306364,0.159091,3.343750
4.473853,0.318182,0.272727,0.296364,1.568182,0.272727,0.296364,0.430909,0.227273,0.136364,2.375455,0.159091,1.747250
4.474154,0.454545,0.227273,0.272727,1.772727,0.249091,0.296364,0.614545,0.261818,0.148182,3.466364,0.148182,2.175750
4.474954,0.703636,0.249091,0.272727,1.977273,0.249091,0.296364,0.590909,0.227273,0.148182,3.420000,0.159091,2.280750
4.530550,0.658182,0.249091,0.296364,1.262727,0.249091,0.296364,0.614545,0.124545,0.136364,3.215455,0.170000,2.000000
4.647755,0.614545,0.272727,0.296364,1.262727,0.272727,0.296364,0.614545,0.148182,0.148182,3.409091,0.148182,2.058000
4.707347,0.818182,0.249091,0.272727,2.318182,0.272727,0.296364,0.796364,0.136364,0.148182,3.466364,0.159091,2.456750
4.779970,0.909091,0.249091,0.296364,2.795455,0.272727,0.296364,0.658182,0.136364,0.148182,3.602727,0.159091,2.619000
4.828666,0.932727,0.249091,0.296364,1.295454,0.272727,0.296364,0.863636,0.329091,0.148182,3.625454,0.159091,2.328750
4.847017,1.000000,0.249091,0.296364,1.399091,0.272727,0.272727,0.772727,0.431818,0.148182,3.750000,0.148182,2.403750
4.944702,0.932727,0.249091,0.318182,1.977273,0.296364,0.318182,1.363636,0.136364,0.148182,3.943636,0.159091,2.706750
4.949560,0.954545,0.249091,0.272727,1.227273,0.272727,0.296364,1.249091,0.148182,0.148182,3.954545,0.148182,2.453250
4.954135,1.112727,0.272727,0.296364,1.568182,0.249091,0.296364,1.476364,0.148182,0.148182,4.000000,0.159091,2.675000
4.958472,1.023636,0.249091,0.272727,1.704545,0.272727,0.296364,1.363636,0.136364,0.148182,3.977273,0.159091,2.641000
5.007754,1.000000,0.227273,0.318182,2.386364,0.272727,0.296364,1.045455,0.148182,0.148182,4.125454,0.159091,2.785000
5.064348,0.818182,0.227273,0.363636,2.487273,0.272727,0.296364,1.318182,0.148182,0.148182,4.351818,0.148182,2.909500
5.074149,0.932727,0.272727,0.272727,2.214546,0.272727,0.296364,0.954545,0.136364,0.136364,4.431818,0.148182,2.769000
5.074333,0.863636,0.249091,0.296364,2.318182,0.272727,0.296364,0.636364,0.148182,0.136364,0.966364,0.159091,1.744250
5.077608,0.658182,0.296364,0.272727,1.840909,0.272727,0.272727,1.023636,0.351818,0.136364,1.590909,0.148182,1.887750
5.082580,0.703636,0.249091,0.296364,2.795455,0.272727,0.296364,0.296364,0.159091,0.148182,5.692727,0.159091,3.044000
5.087104,0.909091,0.249091,0.296364,1.873636,0.272727,0.296364,0.296364,0.148182,0.136364,10.227273,0.170000,4.090750
5.091690,0.932727,0.272727,0.272727,1.600909,0.249091,0.296364,0.318182,0.136364,0.136364,29.080000,1.102727,9.459500
5.126740,1.045455,0.272727,0.363636,1.669091,0.249091,0.296364,0.272727,0.148182,0.148182,103.909088,38.148182,40.293755
5.141162,1.341818,0.249091,0.249091,1.944545,0.272727,0.296364,0.614545,0.136364,13.318183,168.716370,62.533638,68.659996
5.188645,1.523636,0.249091,0.296364,2.899091,0.272727,0.296364,8.181819,0.148182,5.215455,163.397278,45.692726,62.747498
5.307766,1.500000,4.158182,0.272727,2.590909,0.818182,7.205454,16.590910,0.136364,0.136364,146.079102,33.420002,58.549751
5.312508,2.272727,21.114546,0.296364,5.863637,4.069091,16.590910,23.500002,1.011818,0.148182,123.760902,18.181818,59.622753
5.317260,4.023636,34.476364,0.569091,7.363636,17.887274,26.341818,32.636364,0.136364,25.716366,102.431816,1.148182,69.500999
5.321525,6.590909,47.545452,0.841818,13.737272,28.841818,36.000000,39.727276,0.136364,19.295454,61.181816,2.238182,70.437500
5.375323,7.772727,59.090908,0.909091,18.409092,37.772728,40.841820,39.181816,0.136364,11.239092,49.601822,0.340909,72.956505
5.375398,8.067273,62.114548,0.909091,22.909092,43.749092,39.841820,38.318180,15.398182,7.818182,35.738182,0.170000,75.634247
5.489628,8.681818,59.658180,0.863636,23.250000,44.045452,37.500000,37.636364,0.716364,4.556364,27.500000,0.159091,67.256004
5.496550,9.636363,63.409092,0.590909,22.363638,45.069092,36.818184,35.885452,10.250000,2.034545,19.738182,0.159091,67.637505
5.496756,9.476364,64.840004,0.590909,21.646366,45.500000,39.205456,37.021816,1.136364,1.454546,16.875454,0.159091,65.424248
5.551451,8.523636,65.045456,0.772727,22.328182,48.045460,41.978184,35.454544,7.681818,1.340909,16.330000,0.136364,68.100243
5.605164,8.454546,67.045456,1.067273,22.600908,48.660000,43.340000,34.227272,7.738182,0.431818,12.601819,0.159091,67.739746
5.667810,8.296364,67.590912,1.181818,24.169090,50.887272,45.430912,35.000000,7.716364,0.636364,11.431818,0.159091,69.437500
5.672352,8.909091,70.227272,1.000000,24.750002,49.250916,50.703636,33.409092,6.750000,0.159091,9.772728,0.159091,70.150002
5.784414,9.363636,71.112732,1.387273,28.464546,57.454548,54.409092,32.296364,4.079091,0.136364,5.159091,0.159091,72.606003
5.788948,10.430910,77.432724,0.932727,31.909092,63.909092,61.363640,30.796364,0.181818,0.148182,4.181818,0.159091,77.397499
5.793433,11.067273,84.794540,1.296364,35.623638,70.136360,64.590912,25.590912,0.136364,0.136364,3.466364,0.193636,81.683998
5.797961,13.000001,93.569092,1.705454,41.282730,77.545456,70.363640,12.840000,0.136364,0.136364,4.170909,0.159091,86.599991
5.849473,13.703636,89.772728,2.727273,41.454540,82.409096,73.841820,1.976364,0.136364,0.136364,4.579091,0.181818,85.502747
5.849700,15.045455,82.909096,2.432727,38.830906,82.612724,77.045464,3.658182,0.136364,0.136364,3.613636,0.159091,84.309509
5.852971,17.750910,57.749096,2.818182,43.636364,84.636360,73.387276,5.250909,0.250000,0.136364,2.511818,0.159091,79.278748
5.966098,18.567272,11.681818,3.705454,47.795452,81.727272,60.363636,5.045455,0.398182,0.136364,1.590909,0.159091,63.571995
5.976661,20.249090,3.000000,3.590909,39.853634,45.954548,21.909090,7.703636,0.159091,0.148182,0.556364,0.148182,39.399998
5.976891,6.136364,3.772727,3.409091,30.717272,6.454546,0.476364,6.318182,0.148182,0.136364,0.398182,0.159091,15.984750
5.978793,5.569091,2.000000,1.387273,12.000000,5.294545,0.296364,3.840000,0.148182,0.148182,0.909091,0.148182,8.728750
6.034428,2.863636,0.272727,0.841818,9.921819,1.705454,0.296364,1.296364,0.148182,0.136364,1.590909,0.159091,5.289000
6.152087,1.341818,0.249091,0.296364,3.136364,0.249091,0.296364,1.023636,0.136364,0.148182,3.420000,0.148182,2.872500
6.152582,0.363636,0.249091,0.272727,1.330909,0.249091,0.318182,0.658182,0.148182,0.148182,2.511818,0.148182,1.759500
6.154717,0.523636,0.272727,0.296364,1.055454,0.272727,0.296364,0.590909,0.148182,0.136364,2.943636,0.170000,1.844250
6.166294,0.523636,0.272727,0.272727,1.977273,0.272727,0.272727,0.818182,0.227273,0.136364,3.625454,0.148182,2.350500
6.208452,0.614545,0.249091,0.296364,2.350909,0.249091,0.296364,0.841818,0.193636,0.136364,3.659091,0.148182,2.484750
6.266864,0.476364,0.227273,0.272727,2.522727,0.272727,0.296364,0.772727,0.204545,0.148182,3.636364,0.148182,2.469000
6.327239,0.476364,0.249091,0.272727,2.012727,0.249091,0.296364,0.681818,0.204545,0.136364,4.090909,0.159091,2.428000
6.331696,0.545455,0.272727,0.249091,1.909091,0.272727,0.296364,0.703636,0.136364,0.148182,4.045455,0.159091,2.403000
6.385789,0.523636,0.249091,0.272727,1.431818,0.296364,0.272727,0.703636,0.148182,0.136364,4.090909,0.159091,2.278250
6.390330,0.523636,0.227273,0.272727,1.330909,0.249091,0.296364,0.749091,0.148182,0.148182,3.989091,0.148182,2.222750
6.508290,0.703636,0.249091,0.272727,2.080909,0.296364,0.296364,0.500000,0.148182,0.148182,3.989091,0.159091,2.432000
6.565305,0.476364,0.272727,0.296364,1.805454,0.272727,0.296364,0.658182,0.318182,0.148182,4.033637,0.159091,2.402750
6.569743,0.614545,0.249091,0.272727,2.590909,0.249091,0.272727,0.614545,0.148182,0.136364,4.102727,0.159091,2.587750
6.687804,0.749091,0.272727,0.272727,3.714546,0.272727,0.272727,0.614545,0.159091,0.148182,4.045455,0.148182,2.934250
6.698581,0.727273,0.249091,0.272727,3.340909,0.272727,0.296364,0.658182,0.148182,0.136364,4.113636,0.148182,2.850000
6.698837,0.569091,0.227273,0.340000,2.350909,0.272727,0.296364,0.703636,0.136364,0.148182,3.715455,0.159091,2.452750
6.700791,0.569091,0.272727,0.318182,2.762727,0.272727,0.296364,0.681818,0.136364,0.136364,3.613636,0.148182,2.532250
6.752521,0.590909,0.272727,0.296364,3.100909,0.272727,0.296364,0.727273,0.148182,0.136364,3.443636,0.159091,2.597250
6.752591,0.590909,0.272727,0.296364,2.590909,0.272727,0.296364,0.614545,0.136364,0.148182,3.351818,0.148182,2.397750
6.865049,0.658182,0.249091,0.387273,2.899091,0.272727,0.296364,0.796364,0.148182,0.136364,3.602727,0.148182,2.638500
6.884043,1.112727,0.272727,0.476364,1.568182,0.296364,0.296364,1.545455,0.148182,0.148182,3.374546,0.159091,2.584500
6.884167,4.340000,0.249091,0.818182,2.113636,0.272727,0.296364,2.114545,0.340909,0.148182,3.443636,0.159091,3.931500
6.884354,4.569091,29.430910,0.614545,5.214546,7.385455,4.794545,1.954545,0.148182,0.136364,3.692727,0.159091,15.977499
6.927629,2.341818,50.978184,0.296364,2.045455,9.136364,6.772727,36.250908,0.148182,0.148182,4.238182,0.159091,30.941751
6.987055,1.818182,65.090912,0.272727,4.295455,12.387273,10.341819,66.500000,0.136364,0.136364,2.329091,0.159091,44.953503
6.992195,2.545455,70.136360,0.272727,4.396364,13.660000,10.749091,77.363632,0.886364,0.920909,22.192726,0.170000,55.905746
7.009769,2.067273,75.658180,0.296364,3.921818,13.841819,11.590909,79.794548,12.443636,0.148182,50.715454,0.215455,68.940750
7.010392,2.363636,76.500000,0.272727,5.146363,14.840000,14.181819,80.772720,15.818181,0.136364,68.113640,0.193636,76.543251
7.044835,2.681818,75.772728,0.272727,5.454545,15.660000,15.545455,77.545456,11.851819,0.136364,75.193634,0.181818,77.081505
7.049218,2.863636,75.114548,0.387273,6.237273,16.727274,15.863637,77.069092,20.954546,0.136364,74.033638,0.466364,79.709747
7.104921,2.727273,72.909096,0.296364,5.318182,17.114546,15.523637,72.227272,31.022730,0.136364,74.068184,0.318182,80.207001
7.167789,2.887273,70.250908,0.318182,6.954545,18.454546,16.954546,70.000000,28.090910,8.750000,70.727272,0.648182,80.859993
7.186803,2.681818,68.614548,0.296364,6.919091,18.090910,16.954546,67.227272,27.522728,23.125454,73.330002,1.318182,84.172249
7.187026,2.840000,67.021820,0.340000,7.636364,17.930910,17.385454,66.227280,23.909092,23.170910,79.772728,1.011818,84.492752
7.350429,2.909091,65.387268,0.318182,7.330910,17.727272,17.294544,65.023643,15.340910,20.772728,86.283630,1.693636,82.522499
7.350615,2.954545,63.887272,0.340000,6.987273,18.430908,16.203636,63.567276,10.307273,17.090908,88.704552,1.204545,79.661499
7.353665,2.930909,62.705460,0.614545,8.590910,19.000000,15.590909,63.249092,9.522727,20.681818,87.045448,1.500000,80.143753
7.358259,2.523637,62.430908,0.318182,8.931819,19.045454,17.181818,61.681816,7.295455,20.510910,85.692726,2.068182,79.112244
7.409140,2.545455,62.363636,0.363636,9.512728,20.112728,19.023636,57.590908,18.022726,19.272726,85.829086,2.363636,81.675255
7.468525,2.454546,62.227272,0.430909,12.169090,24.000000,20.681818,52.227276,14.000000,17.465454,83.340912,2.352727,80.121254
7.479204,3.363636,61.545452,0.430909,12.886364,25.567272,22.727274,51.681820,13.863637,15.409091,79.966370,2.454546,79.721497
7.479444,4.158182,62.430908,0.500000,17.113636,27.930910,26.909092,48.840004,0.136364,16.557272,62.795456,1.784545,74.018005
7.480099,4.976364,63.772728,0.523636,20.318182,29.181820,29.090908,47.750908,0.136364,14.772727,51.897270,1.363636,72.540749
7.528203,5.840000,67.045456,0.569091,21.510000,33.978184,30.818182,47.476364,0.148182,8.647272,26.795456,0.670909,66.962250
7.537506,7.978182,70.705460,0.749091,27.409094,41.772728,34.818184,45.181820,7.772727,4.090909,17.193636,0.227273,70.922256
7.652311,10.978182,77.500008,1.954545,34.126366,50.454548,39.476364,41.523636,0.159091,0.148182,5.102727,0.170000,71.938248
7.652384,12.614545,74.909088,2.318182,40.772724,54.136364,41.636364,15.500000,0.136364,0.148182,3.318182,0.148182,67.550507
7.655959,12.430909,46.181820,3.409091,47.149090,51.067272,45.612724,2.454546,0.148182,0.136364,2.454546,0.159091,58.080994
7.669546,10.341819,0.249091,3.069091,56.659092,37.000000,36.930908,1.885455,0.136364,0.136364,1.727273,0.227273,40.799755
7.709251,1.023636,0.249091,0.296364,32.078182,0.841818,0.272727,1.727273,0.148182,0.148182,1.727273,0.181818,10.641000
7.770058,0.614545,0.249091,0.272727,13.227274,0.249091,0.296364,0.796364,0.533636,0.148182,2.000000,0.193636,5.109750
7.772787,0.409091,0.272727,0.272727,3.714546,0.249091,0.272727,0.318182,0.204545,0.148182,3.409091,0.170000,2.596250
7.828673,0.476364,0.272727,0.272727,4.396364,0.272727,0.249091,0.296364,0.148182,0.148182,3.454545,0.170000,2.793250
7.833133,0.363636,0.249091,0.249091,3.818182,0.296364,0.296364,0.340000,0.533636,0.148182,3.045455,0.159091,2.612250
7.888542,0.430909,0.249091,0.272727,3.136364,0.296364,0.296364,0.363636,0.443636,0.148182,3.068182,0.148182,2.434750
7.893608,0.363636,0.249091,0.296364,3.444545,0.272727,0.296364,0.387273,0.227273,0.136364,3.204545,0.159091,2.485250
7.948362,0.500000,0.249091,0.272727,2.558182,0.272727,0.249091,0.500000,0.215455,0.136364,3.443636,0.159091,2.353000
8.008075,0.454545,0.272727,0.296364,3.000000,0.296364,0.296364,0.430909,0.159091,0.136364,3.351818,0.148182,2.431750
8.012992,0.523636,0.272727,0.272727,3.340909,0.296364,0.296364,0.454545,0.329091,0.148182,3.522727,0.159091,2.644500
8.068854,0.500000,0.249091,0.272727,3.545455,0.249091,0.272727,0.476364,0.272727,0.159091,3.295455,0.148182,2.596250
8.072564,0.500000,0.227273,0.272727,2.522727,0.249091,0.296364,0.430909,0.624545,0.148182,3.227273,0.148182,2.378000
